Validation sanity check: 0it [00:00, ?it/s]split is 0
Length of dataset retrieving is.. 431
Validation sanity check:  50% 1/2 [00:01<00:01,  1.18s/it]
Set SLURM handle signals.
  | Name  | Type                       | Params
-----------------------------------------------------
0 | model | T5ForConditionalGeneration | 81.7 M
-----------------------------------------------------
46.3 M    Trainable params
35.3 M    Non-trainable params
81.7 M    Total params
split is 0
Length of dataset retrieving is.. 3019
Epoch 0:  13% 14/108 [00:01<00:08, 10.67it/s, loss=7.94, v_num=5wq9, em_score=0.000, f1_score=0.0482]
Epoch 17:  87% 94/108 [00:06<00:00, 15.49it/s, loss=1.04, v_num=5wq9, em_score=0.0394, f1_score=0.130]








Epoch 18:  89% 96/108 [00:07<00:00, 13.39it/s, loss=0.988, v_num=5wq9, em_score=0.0464, f1_score=0.136]







Epoch 19:  87% 94/108 [00:05<00:00, 15.82it/s, loss=0.976, v_num=5wq9, em_score=0.0418, f1_score=0.137]








Epoch 20:  89% 96/108 [00:07<00:00, 13.37it/s, loss=0.911, v_num=5wq9, em_score=0.0394, f1_score=0.139]







Epoch 21:  89% 96/108 [00:07<00:00, 13.31it/s, loss=0.861, v_num=5wq9, em_score=0.0418, f1_score=0.127]







Epoch 22:  87% 94/108 [00:05<00:00, 15.72it/s, loss=0.841, v_num=5wq9, em_score=0.0557, f1_score=0.146]








Epoch 23:  89% 96/108 [00:07<00:00, 13.35it/s, loss=0.799, v_num=5wq9, em_score=0.0534, f1_score=0.150]







Epoch 24:  89% 96/108 [00:07<00:00, 13.43it/s, loss=0.771, v_num=5wq9, em_score=0.058, f1_score=0.155]







Epoch 25:  87% 94/108 [00:06<00:00, 15.64it/s, loss=0.721, v_num=5wq9, em_score=0.0603, f1_score=0.152]







Epoch 26:  87% 94/108 [00:05<00:00, 15.71it/s, loss=0.703, v_num=5wq9, em_score=0.0603, f1_score=0.158]








Epoch 27:  89% 96/108 [00:07<00:00, 13.36it/s, loss=0.673, v_num=5wq9, em_score=0.0626, f1_score=0.164]







Epoch 28:  89% 96/108 [00:07<00:00, 13.51it/s, loss=0.632, v_num=5wq9, em_score=0.051, f1_score=0.177]







Epoch 29:  89% 96/108 [00:07<00:00, 13.38it/s, loss=0.602, v_num=5wq9, em_score=0.0557, f1_score=0.159]







Epoch 30:  87% 94/108 [00:05<00:00, 15.79it/s, loss=0.584, v_num=5wq9, em_score=0.0673, f1_score=0.164]







Epoch 31:  87% 94/108 [00:05<00:00, 15.83it/s, loss=0.549, v_num=5wq9, em_score=0.0603, f1_score=0.162]







Epoch 32:  87% 94/108 [00:05<00:00, 15.75it/s, loss=0.506, v_num=5wq9, em_score=0.0766, f1_score=0.171]







Epoch 33:  87% 94/108 [00:06<00:00, 15.43it/s, loss=0.488, v_num=5wq9, em_score=0.0603, f1_score=0.171]







Epoch 34:  87% 94/108 [00:05<00:00, 15.75it/s, loss=0.45, v_num=5wq9, em_score=0.0673, f1_score=0.171]







Epoch 35:  87% 94/108 [00:05<00:00, 15.72it/s, loss=0.438, v_num=5wq9, em_score=0.058, f1_score=0.173]







Epoch 36:  87% 94/108 [00:05<00:00, 15.87it/s, loss=0.408, v_num=5wq9, em_score=0.058, f1_score=0.160]







Epoch 37:  89% 96/108 [00:07<00:00, 13.49it/s, loss=0.369, v_num=5wq9, em_score=0.0603, f1_score=0.177]







Epoch 38:  89% 96/108 [00:07<00:00, 13.58it/s, loss=0.346, v_num=5wq9, em_score=0.0626, f1_score=0.160]







Epoch 39:  89% 96/108 [00:07<00:00, 13.27it/s, loss=0.322, v_num=5wq9, em_score=0.0742, f1_score=0.175]







Epoch 40:  87% 94/108 [00:05<00:00, 15.77it/s, loss=0.305, v_num=5wq9, em_score=0.0696, f1_score=0.179]







Epoch 41:  87% 94/108 [00:05<00:00, 15.86it/s, loss=0.275, v_num=5wq9, em_score=0.0696, f1_score=0.166]








Epoch 42:  87% 94/108 [00:05<00:00, 15.74it/s, loss=0.258, v_num=5wq9, em_score=0.0719, f1_score=0.182]







Epoch 43:  87% 94/108 [00:05<00:00, 15.80it/s, loss=0.235, v_num=5wq9, em_score=0.0696, f1_score=0.177]







Epoch 44:  87% 94/108 [00:05<00:00, 16.15it/s, loss=0.212, v_num=5wq9, em_score=0.0603, f1_score=0.171]







Epoch 45:  89% 96/108 [00:07<00:00, 13.32it/s, loss=0.193, v_num=5wq9, em_score=0.0603, f1_score=0.174]







Epoch 46:  89% 96/108 [00:07<00:00, 13.21it/s, loss=0.178, v_num=5wq9, em_score=0.065, f1_score=0.183]







Epoch 47:  89% 96/108 [00:07<00:00, 13.45it/s, loss=0.167, v_num=5wq9, em_score=0.0626, f1_score=0.182]







Epoch 48:  89% 96/108 [00:07<00:00, 13.40it/s, loss=0.149, v_num=5wq9, em_score=0.0603, f1_score=0.174]







Epoch 49:  89% 96/108 [00:07<00:00, 13.45it/s, loss=0.138, v_num=5wq9, em_score=0.0626, f1_score=0.169]







Epoch 50:  89% 96/108 [00:07<00:00, 13.63it/s, loss=0.135, v_num=5wq9, em_score=0.0557, f1_score=0.169]







Epoch 51:  89% 96/108 [00:07<00:00, 13.49it/s, loss=0.119, v_num=5wq9, em_score=0.0557, f1_score=0.179]






Epoch 52:  87% 94/108 [00:05<00:00, 15.75it/s, loss=0.115, v_num=5wq9, em_score=0.0603, f1_score=0.176]








Epoch 53:  89% 96/108 [00:07<00:00, 13.27it/s, loss=0.114, v_num=5wq9, em_score=0.0673, f1_score=0.178]






Epoch 54:  87% 94/108 [00:05<00:00, 15.92it/s, loss=0.105, v_num=5wq9, em_score=0.065, f1_score=0.187]







Epoch 55:  87% 94/108 [00:05<00:00, 15.81it/s, loss=0.0946, v_num=5wq9, em_score=0.0696, f1_score=0.184]







Epoch 56:  87% 94/108 [00:05<00:00, 15.83it/s, loss=0.0919, v_num=5wq9, em_score=0.0557, f1_score=0.176]







Epoch 57:  87% 94/108 [00:06<00:00, 15.60it/s, loss=0.0803, v_num=5wq9, em_score=0.0603, f1_score=0.173]







Epoch 58:  87% 94/108 [00:05<00:00, 15.82it/s, loss=0.0833, v_num=5wq9, em_score=0.0557, f1_score=0.174]







Epoch 59:  89% 96/108 [00:06<00:00, 13.71it/s, loss=0.0828, v_num=5wq9, em_score=0.0673, f1_score=0.186]







Epoch 60:  89% 96/108 [00:07<00:00, 13.47it/s, loss=0.0747, v_num=5wq9, em_score=0.0557, f1_score=0.169]







Epoch 61:  89% 96/108 [00:07<00:00, 13.34it/s, loss=0.0735, v_num=5wq9, em_score=0.0603, f1_score=0.181]







Epoch 62:  89% 96/108 [00:07<00:00, 13.13it/s, loss=0.0652, v_num=5wq9, em_score=0.0626, f1_score=0.182]






Epoch 63:  87% 94/108 [00:06<00:00, 15.65it/s, loss=0.0615, v_num=5wq9, em_score=0.065, f1_score=0.167]







Epoch 64:  87% 94/108 [00:05<00:00, 15.81it/s, loss=0.0649, v_num=5wq9, em_score=0.0626, f1_score=0.170]







Epoch 65:  87% 94/108 [00:05<00:00, 15.84it/s, loss=0.0547, v_num=5wq9, em_score=0.065, f1_score=0.175]







Epoch 66:  87% 94/108 [00:05<00:00, 15.83it/s, loss=0.0545, v_num=5wq9, em_score=0.0464, f1_score=0.155]







Epoch 67:  87% 94/108 [00:05<00:00, 15.73it/s, loss=0.0511, v_num=5wq9, em_score=0.0557, f1_score=0.167]







Epoch 68:  87% 94/108 [00:05<00:00, 15.74it/s, loss=0.0516, v_num=5wq9, em_score=0.0603, f1_score=0.168]







Epoch 69:  89% 96/108 [00:07<00:00, 13.39it/s, loss=0.0556, v_num=5wq9, em_score=0.051, f1_score=0.156]







Epoch 70:  89% 96/108 [00:07<00:00, 13.53it/s, loss=0.0438, v_num=5wq9, em_score=0.0557, f1_score=0.176]







Epoch 71:  89% 96/108 [00:07<00:00, 13.60it/s, loss=0.0481, v_num=5wq9, em_score=0.058, f1_score=0.169]






Epoch 72:  87% 94/108 [00:05<00:00, 15.88it/s, loss=0.0497, v_num=5wq9, em_score=0.0719, f1_score=0.181]







Epoch 73:  87% 94/108 [00:05<00:00, 15.78it/s, loss=0.0401, v_num=5wq9, em_score=0.051, f1_score=0.156]







Epoch 74:  87% 94/108 [00:05<00:00, 15.84it/s, loss=0.0412, v_num=5wq9, em_score=0.0487, f1_score=0.171]







Epoch 75:  87% 94/108 [00:05<00:00, 15.82it/s, loss=0.035, v_num=5wq9, em_score=0.0603, f1_score=0.181]







Epoch 76:  89% 96/108 [00:07<00:00, 13.46it/s, loss=0.037, v_num=5wq9, em_score=0.0464, f1_score=0.164]







Epoch 77:  89% 96/108 [00:07<00:00, 13.57it/s, loss=0.0381, v_num=5wq9, em_score=0.0557, f1_score=0.175]







Epoch 78:  89% 96/108 [00:07<00:00, 13.55it/s, loss=0.0296, v_num=5wq9, em_score=0.051, f1_score=0.174]







Epoch 79:  89% 96/108 [00:07<00:00, 13.38it/s, loss=0.0335, v_num=5wq9, em_score=0.058, f1_score=0.180]






Epoch 80:  87% 94/108 [00:05<00:00, 15.78it/s, loss=0.0364, v_num=5wq9, em_score=0.0557, f1_score=0.169]







Epoch 81:  87% 94/108 [00:05<00:00, 15.84it/s, loss=0.0355, v_num=5wq9, em_score=0.058, f1_score=0.183]







Epoch 82:  87% 94/108 [00:05<00:00, 15.78it/s, loss=0.0305, v_num=5wq9, em_score=0.0673, f1_score=0.188]







Epoch 83:  87% 94/108 [00:06<00:00, 15.54it/s, loss=0.0301, v_num=5wq9, em_score=0.051, f1_score=0.163]







Epoch 84:  89% 96/108 [00:07<00:00, 13.65it/s, loss=0.0305, v_num=5wq9, em_score=0.0603, f1_score=0.181]







Epoch 85:  89% 96/108 [00:07<00:00, 13.56it/s, loss=0.03, v_num=5wq9, em_score=0.0557, f1_score=0.161]







Epoch 86:  89% 96/108 [00:07<00:00, 13.59it/s, loss=0.0293, v_num=5wq9, em_score=0.0557, f1_score=0.166]







Epoch 87:  89% 96/108 [00:07<00:00, 13.56it/s, loss=0.0259, v_num=5wq9, em_score=0.0603, f1_score=0.161]






Epoch 88:  87% 94/108 [00:05<00:00, 15.94it/s, loss=0.0257, v_num=5wq9, em_score=0.0603, f1_score=0.171]







Epoch 89:  87% 94/108 [00:05<00:00, 15.78it/s, loss=0.0221, v_num=5wq9, em_score=0.0626, f1_score=0.175]





Validating:  79% 11/14 [00:07<00:02,  1.43it/s]
