index,original,date,input,output
70,691,2012,Raúl Jiménez plays for <extra_id_0>.,<extra_id_0> Monarcas Morelia <extra_id_1>
71,708,2012,Mathieu Valbuena plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
72,719,2012,Armand Traoré plays for <extra_id_0>.,<extra_id_0> Senegal national football team <extra_id_1>
73,733,2012,Jimmy Abdou plays for <extra_id_0>.,<extra_id_0> Comoros national football team <extra_id_1>
74,744,2012,Ashley Cole plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
75,754,2012,Jamie Carragher plays for <extra_id_0>.,<extra_id_0> Liverpool F.C. <extra_id_1>
76,758,2012,Calais Campbell plays for <extra_id_0>.,<extra_id_0> Arizona Cardinals <extra_id_1>
77,773,2012,Joe Cole plays for <extra_id_0>.,<extra_id_0> Lille OSC <extra_id_1>
78,782,2012,Gary Cahill plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
79,793,2012,J. J. Redick plays for <extra_id_0>.,<extra_id_0> Orlando Magic <extra_id_1>
80,804,2012,James Taylor plays for <extra_id_0>.,<extra_id_0> Nottinghamshire County Cricket Club <extra_id_1>
81,818,2012,Graeme Swann plays for <extra_id_0>.,<extra_id_0> Nottinghamshire County Cricket Club <extra_id_1>
82,821,2012,Callum Ferguson plays for <extra_id_0>.,<extra_id_0> Adelaide Strikers <extra_id_1>
83,832,2012,Daniel Xhafa plays for <extra_id_0>.,<extra_id_0> KF Teuta Durrës <extra_id_1>
84,838,2012,Hamdi Salihi plays for <extra_id_0>.,<extra_id_0> SK Rapid Wien <extra_id_1>
85,848,2012,Clayton Donaldson plays for <extra_id_0>.,<extra_id_0> Brentford F.C. <extra_id_1>
86,859,2012,Rangana Herath plays for <extra_id_0>.,<extra_id_0> Tamil Union Cricket and Athletic Club <extra_id_1>
87,870,2012,Sébastien Bassong plays for <extra_id_0>.,<extra_id_0> Wolverhampton Wanderers F.C. <extra_id_1>
88,876,2012,Kevin Trapp plays for <extra_id_0>.,<extra_id_0> Eintracht Frankfurt <extra_id_1>
89,885,2012,Kristaps Porziņģis plays for <extra_id_0>.,<extra_id_0> Real Betis Baloncesto <extra_id_1>
90,896,2012,Elis Bakaj plays for <extra_id_0>.,<extra_id_0> Albania national association football team <extra_id_1>
91,907,2012,David James plays for <extra_id_0>.,<extra_id_0> AFC Bournemouth <extra_id_1>
92,912,2012,Blaise Matuidi plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
93,923,2012,Filipe Morais plays for <extra_id_0>.,<extra_id_0> Oldham Athletic A.F.C. <extra_id_1>
94,934,2012,Ki Sung-yueng plays for <extra_id_0>.,<extra_id_0> South Korea national under-23 football team <extra_id_1>
95,939,2012,Ronan O'Gara plays for <extra_id_0>.,<extra_id_0> Munster Rugby <extra_id_1>
96,950,2012,André-Pierre Gignac plays for <extra_id_0>.,<extra_id_0> Olympique de Marseille <extra_id_1>
97,956,2012,Marouane Chamakh plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
98,962,2012,Zesh Rehman plays for <extra_id_0>.,<extra_id_0> Muangthong United F.C. <extra_id_1>
99,973,2012,Matt Prior plays for <extra_id_0>.,<extra_id_0> Sydney Thunder <extra_id_1>
100,979,2012,Lasith Malinga plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
101,991,2012,Benji Marshall plays for <extra_id_0>.,<extra_id_0> Wests Tigers <extra_id_1>
102,1002,2012,Erjon Bogdani plays for <extra_id_0>.,<extra_id_0> Albania national association football team <extra_id_1>
103,1012,2012,Jeroen Zoet plays for <extra_id_0>.,<extra_id_0> Netherlands national under-21 football team <extra_id_1>
104,1026,2012,Michael Clarke plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
105,1032,2012,Sol Bamba plays for <extra_id_0>.,<extra_id_0> Leicester City F.C. <extra_id_1>
106,1038,2012,Anderson plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
107,1049,2012,Jacques Kallis plays for <extra_id_0>.,<extra_id_0> South Africa national cricket team <extra_id_1>
108,1055,2012,Isaiah Thomas plays for <extra_id_0>.,<extra_id_0> Sacramento Kings <extra_id_1>
109,1066,2012,John Degenkolb plays for <extra_id_0>.,<extra_id_0> Team Sunweb <extra_id_1>
110,1085,2012,Chris Beardsley plays for <extra_id_0>.,<extra_id_0> Preston North End F.C. <extra_id_1>
111,1096,2012,Moussa Sissoko plays for <extra_id_0>.,<extra_id_0> Toulouse FC <extra_id_1>
112,1107,2012,Jonathan Sexton plays for <extra_id_0>.,<extra_id_0> Leinster Rugby <extra_id_1>
113,1118,2012,Tim Paine plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
114,1129,2012,Patrick Kisnorbo plays for <extra_id_0>.,<extra_id_0> Leeds United F.C. <extra_id_1>
115,1140,2012,Andrew Bogut plays for <extra_id_0>.,<extra_id_0> Golden State Warriors <extra_id_1>
116,1151,2012,Tommy Elphick plays for <extra_id_0>.,<extra_id_0> Brighton & Hove Albion F.C. <extra_id_1>
117,1162,2012,David Edgar plays for <extra_id_0>.,<extra_id_0> Burnley F.C. <extra_id_1>
118,1172,2012,Paulo Dybala plays for <extra_id_0>.,<extra_id_0> Palermo FC <extra_id_1>
119,1183,2012,Gary Roberts plays for <extra_id_0>.,<extra_id_0> Mansfield Town F.C. <extra_id_1>
120,1189,2012,Wout Brama plays for <extra_id_0>.,<extra_id_0> FC Twente <extra_id_1>
121,1200,2012,Victor Oladipo plays for <extra_id_0>.,<extra_id_0> Indiana Hoosiers men's basketball <extra_id_1>
122,1211,2012,Víctor Ibarbo plays for <extra_id_0>.,<extra_id_0> Cagliari Calcio <extra_id_1>
123,1222,2012,Owen Hargreaves plays for <extra_id_0>.,<extra_id_0> Manchester City F.C. <extra_id_1>
124,1225,2012,Anthony Martial plays for <extra_id_0>.,<extra_id_0> France national under-17 football team <extra_id_1>
125,1236,2012,Gentjan Muça plays for <extra_id_0>.,<extra_id_0> Flamurtari Vlorë <extra_id_1>
126,1247,2012,Owen Farrell plays for <extra_id_0>.,<extra_id_0> England national rugby union team <extra_id_1>
127,1258,2012,Tyler Clippard plays for <extra_id_0>.,<extra_id_0> Washington Nationals <extra_id_1>
128,1269,2012,Dejan Lovren plays for <extra_id_0>.,<extra_id_0> Olympique Lyonnais <extra_id_1>
129,1280,2012,Dean Windass plays for <extra_id_0>.,<extra_id_0> Scarborough Athletic F.C. <extra_id_1>
130,1283,2012,Salomon Kalou plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
131,1294,2012,Xherdan Shaqiri plays for <extra_id_0>.,<extra_id_0> Swiss national football team <extra_id_1>
132,1305,2012,Tom Kennedy plays for <extra_id_0>.,<extra_id_0> Leicester City F.C. <extra_id_1>
133,1316,2012,Raphaël Varane plays for <extra_id_0>.,<extra_id_0> France national under-21 football team <extra_id_1>
134,1327,2012,Michael Hussey plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
135,1334,2012,Tony McMahon plays for <extra_id_0>.,<extra_id_0> Middlesbrough F.C. <extra_id_1>
136,1340,2012,Amr Zaki plays for <extra_id_0>.,<extra_id_0> ENPPI Club <extra_id_1>
137,1346,2012,Mitchell Johnson plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
138,1359,2012,John Guidetti plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
139,1370,2012,Karim Matmour plays for <extra_id_0>.,<extra_id_0> Algeria national football team <extra_id_1>
140,1381,2012,Greg Pearson plays for <extra_id_0>.,<extra_id_0> Aldershot Town F.C. <extra_id_1>
141,1394,2012,Sanchez Watt plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
142,1405,2012,Danny Hollands plays for <extra_id_0>.,<extra_id_0> Charlton Athletic F.C. <extra_id_1>
143,1409,2012,Edgar Davids plays for <extra_id_0>.,<extra_id_0> Barnet F.C. <extra_id_1>
144,1414,2012,Aleksandar Đurić plays for <extra_id_0>.,<extra_id_0> Tampines Rovers FC <extra_id_1>
145,1419,2012,Adam Priestley plays for <extra_id_0>.,<extra_id_0> Farsley Celtic F.C. <extra_id_1>
146,1430,2012,Glen Johnson plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
147,1439,2012,Agon Mehmeti plays for <extra_id_0>.,<extra_id_0> Palermo FC <extra_id_1>
148,1450,2012,Marta plays for <extra_id_0>.,<extra_id_0> Tyresö FF <extra_id_1>
149,1461,2012,Hashim Mahomed Amla plays for <extra_id_0>.,<extra_id_0> Dolphins cricket team <extra_id_1>
150,1472,2012,Andrea Bargnani plays for <extra_id_0>.,<extra_id_0> Toronto Raptors <extra_id_1>
151,1482,2012,Teddy Bridgewater plays for <extra_id_0>.,<extra_id_0> Louisville Cardinals football <extra_id_1>
152,1492,2012,Thibaut Curtua plays for <extra_id_0>.,<extra_id_0> Atlético Madrid <extra_id_1>
153,1503,2012,Marcelo plays for <extra_id_0>.,<extra_id_0> Brazil Olympic football team <extra_id_1>
154,1509,2012,Jérôme Boateng plays for <extra_id_0>.,<extra_id_0> FC Bayern Munich <extra_id_1>
155,1520,2012,Zoltán Stieber plays for <extra_id_0>.,<extra_id_0> 1. FSV Mainz 05 <extra_id_1>
156,1531,2012,Ali Karimi plays for <extra_id_0>.,<extra_id_0> Iran national football team <extra_id_1>
157,1536,2012,Grétar Steinsson plays for <extra_id_0>.,<extra_id_0> Iceland national association football team <extra_id_1>
158,1540,2012,Jimmy Bullard plays for <extra_id_0>.,<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
159,1543,2012,Babar Azam plays for <extra_id_0>.,<extra_id_0> Islamabad Leopards <extra_id_1>
160,1554,2012,Gareth Barry plays for <extra_id_0>.,<extra_id_0> Manchester City F.C. <extra_id_1>
161,1565,2012,Jermaine Pennant plays for <extra_id_0>.,<extra_id_0> Wolverhampton Wanderers F.C. <extra_id_1>
162,1576,2012,Chris Baird plays for <extra_id_0>.,<extra_id_0> Fulham F.C. <extra_id_1>
163,1587,2012,André Ayew plays for <extra_id_0>.,<extra_id_0> Olympique de Marseille <extra_id_1>
164,1598,2012,Kevin Nolan plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
165,1609,2012,Steven Naismith plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
166,1620,2012,Shivnarine Chanderpaul plays for <extra_id_0>.,<extra_id_0> West Indies cricket team <extra_id_1>
167,1630,2012,Alex Oxlade-Chamberlain plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
168,1641,2012,Nikola Mirotić plays for <extra_id_0>.,<extra_id_0> Real Madrid Baloncesto <extra_id_1>
169,1652,2012,Katie Chapman plays for <extra_id_0>.,<extra_id_0> Arsenal W.F.C. <extra_id_1>
170,1663,2012,Teddy Chevalier plays for <extra_id_0>.,<extra_id_0> S.V. Zulte Waregem <extra_id_1>
171,1674,2012,Lewis Holtby plays for <extra_id_0>.,<extra_id_0> Germany national association football team <extra_id_1>
172,1687,2012,Adam Chicksen plays for <extra_id_0>.,<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
173,1698,2012,Jamie Ashdown plays for <extra_id_0>.,<extra_id_0> Portsmouth F.C. <extra_id_1>
174,1704,2012,Óscar Cardozo plays for <extra_id_0>.,<extra_id_0> S.L. Benfica <extra_id_1>
175,1723,2012,Richard Cresswell plays for <extra_id_0>.,<extra_id_0> Sheffield United F.C. <extra_id_1>
176,1728,2012,Emre Can plays for <extra_id_0>.,<extra_id_0> FC Bayern Munich II <extra_id_1>
177,1739,2012,Therese Sjögran plays for <extra_id_0>.,<extra_id_0> Sweden women's national association football team <extra_id_1>
178,1745,2012,Caron Butler plays for <extra_id_0>.,<extra_id_0> Los Angeles Clippers <extra_id_1>
179,1752,2012,Liam Palmer plays for <extra_id_0>.,<extra_id_0> Scotland national under-21 football team <extra_id_1>
180,1756,2012,Robert Snodgrass plays for <extra_id_0>.,<extra_id_0> Leeds United F.C. <extra_id_1>
181,1767,2012,Kieron Pollard plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
182,1778,2012,Kenneth Vermeer plays for <extra_id_0>.,<extra_id_0> AFC Ajax <extra_id_1>
183,1789,2012,Matty Fryatt plays for <extra_id_0>.,<extra_id_0> Hull City A.F.C. <extra_id_1>
184,1800,2012,Niall McGinn plays for <extra_id_0>.,<extra_id_0> Brentford F.C. <extra_id_1>
185,1811,2012,Nathan Redmond plays for <extra_id_0>.,<extra_id_0> England national under-19 football team <extra_id_1>
186,1822,2012,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Sepahan F.C. <extra_id_1>
187,1833,2012,Kakha Kaladze plays for <extra_id_0>.,<extra_id_0> Genoa C.F.C. <extra_id_1>
188,1836,2012,Robert Green plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
189,1847,2012,Matt Godden plays for <extra_id_0>.,<extra_id_0> Gainsborough Trinity F.C. <extra_id_1>
190,1858,2012,Robert Mugabe holds the position of <extra_id_0>.,<extra_id_0> President of Zimbabwe <extra_id_1>
191,1868,2012,Recep Tayyip Erdoğan holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Turkey <extra_id_1>
192,1879,2012,Boris Johnson holds the position of <extra_id_0>.,<extra_id_0> Mayor of London <extra_id_1>
193,1890,2012,Vladimir Putin holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Russia <extra_id_1>
194,1901,2012,Mike Pence holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
195,1911,2012,Scott Pruitt holds the position of <extra_id_0>.,<extra_id_0> Attorney General of Oklahoma <extra_id_1>
196,1922,2012,Rafael Correa Delgado holds the position of <extra_id_0>.,<extra_id_0> President of Ecuador <extra_id_1>
197,1937,2012,Richard Blumenthal holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
198,1948,2012,Jeff Sessions holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
199,1967,2012,Traian Băsescu holds the position of <extra_id_0>.,<extra_id_0> President of Romania <extra_id_1>
200,1974,2012,Dmitry Medvedev holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Russia <extra_id_1>
201,1985,2012,Lee Jae-myung holds the position of <extra_id_0>.,<extra_id_0> mayor <extra_id_1>
202,1996,2012,Frank Underwood holds the position of <extra_id_0>.,<extra_id_0> whip <extra_id_1>
203,2007,2012,Ed Miliband holds the position of <extra_id_0>.,<extra_id_0> Leader of the Labour Party <extra_id_1>
204,2013,2012,Mike Pompeo holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
205,2024,2012,John Baird holds the position of <extra_id_0>.,<extra_id_0> Minister of Foreign Affairs of Canada <extra_id_1>
206,2030,2012,Enda Kenny holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
207,2041,2012,Steve Cohen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
208,2052,2012,Mitch McConnell holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
209,2063,2012,Eric Garcetti holds the position of <extra_id_0>.,<extra_id_0> President of the Los Angeles City Council <extra_id_1>
210,2082,2012,Jeff Flake holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
211,2091,2012,Andrew Scheer holds the position of <extra_id_0>.,<extra_id_0> Speaker of the House of Commons <extra_id_1>
212,2100,2012,Aleksandar Vučić holds the position of <extra_id_0>.,<extra_id_0> Deputy Prime Minister of Serbia <extra_id_1>
213,2111,2012,Anerood Jugnauth holds the position of <extra_id_0>.,<extra_id_0> President of Mauritius <extra_id_1>
214,2123,2012,James R. Clapper holds the position of <extra_id_0>.,<extra_id_0> Director of National Intelligence <extra_id_1>
215,2134,2012,Mike Honda holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
216,2142,2012,Pranab Mukherjee holds the position of <extra_id_0>.,<extra_id_0> Minister of Finance <extra_id_1>
217,2159,2012,Kenneth Clarke holds the position of <extra_id_0>.,<extra_id_0> Lord Chancellor <extra_id_1>
218,2167,2012,Daniel Inouye holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
219,2170,2012,Nicola Sturgeon holds the position of <extra_id_0>.,<extra_id_0> Deputy First Minister of Scotland <extra_id_1>
220,2181,2012,Mahmoud Abbas holds the position of <extra_id_0>.,<extra_id_0> President of the Palestinian National Authority <extra_id_1>
221,2192,2012,Abdul Taib Mahmud holds the position of <extra_id_0>.,<extra_id_0> Chief Minister of Sarawak <extra_id_1>
222,2203,2012,Joe Donnelly holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
223,2211,2012,Salman of Saudi Arabia holds the position of <extra_id_0>.,<extra_id_0> Crown Prince of Saudi Arabia <extra_id_1>
224,2229,2012,Tim Scott holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
225,2239,2012,Oleksandr Turchynov holds the position of <extra_id_0>.,<extra_id_0> People's Deputy of Ukraine <extra_id_1>
226,2255,2012,Viviane Reding holds the position of <extra_id_0>.,"<extra_id_0> European Commissioner for Justice, Fundamental Rights and Citizenship <extra_id_1>"
227,2264,2012,Arseniy Yatsenyuk holds the position of <extra_id_0>.,<extra_id_0> People's Deputy of Ukraine <extra_id_1>
228,2271,2012,Thomas Massie holds the position of <extra_id_0>.,<extra_id_0> County Judge/Executive <extra_id_1>
229,2289,2012,Judith Collins holds the position of <extra_id_0>.,<extra_id_0> Minister of Justice <extra_id_1>
230,2300,2012,Roy Blunt holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
231,2311,2012,Li Keqiang holds the position of <extra_id_0>.,<extra_id_0> Vice Premier of the State Council of the People's Republic of China <extra_id_1>
232,2326,2012,Andy Burnham holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Health <extra_id_1>
233,2337,2012,Serzh Sargsyan holds the position of <extra_id_0>.,<extra_id_0> President of Armenia <extra_id_1>
234,2346,2012,Raúl Castro Ruz holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Cuba <extra_id_1>
235,2372,2012,Selina Meyer holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
236,2378,2012,Kristi Noem holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
237,2389,2012,Ruairi Quinn holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
238,2395,2012,Alistair Darling holds the position of <extra_id_0>.,<extra_id_0> chairperson <extra_id_1>
239,2406,2012,Dominic Grieve holds the position of <extra_id_0>.,<extra_id_0> Advocate General for Northern Ireland <extra_id_1>
240,2421,2012,Muhyiddin Yassin holds the position of <extra_id_0>.,<extra_id_0> Minister of Education <extra_id_1>
241,2428,2012,Jim Sensenbrenner holds the position of <extra_id_0>.,<extra_id_0> delegate <extra_id_1>
242,2444,2012,Bill Cassidy holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
243,2455,2012,Chris Van Hollen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
244,2464,2012,Owen Smith holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Wales <extra_id_1>
245,2473,2012,László Tőkés holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
246,2483,2012,Bridget McKenzie holds the position of <extra_id_0>.,<extra_id_0> Member of the Australian Senate <extra_id_1>
247,2497,2012,Stefan Löfven holds the position of <extra_id_0>.,<extra_id_0> party leader <extra_id_1>
248,2508,2012,Brian Schatz holds the position of <extra_id_0>.,<extra_id_0> Lieutenant Governor of Hawaii <extra_id_1>
249,2518,2012,Mario Monti holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Italy <extra_id_1>
250,2529,2012,Malusi Gigaba holds the position of <extra_id_0>.,<extra_id_0> Minister of Public Enterprises <extra_id_1>
251,2538,2012,Damian Green holds the position of <extra_id_0>.,<extra_id_0> Minister for Policing <extra_id_1>
252,2546,2012,Almazbek Atambayev holds the position of <extra_id_0>.,<extra_id_0> President of Kyrgyzstan <extra_id_1>
