index,original,date,input,output
35,410,2017,Sam Bradford plays for <extra_id_0>.,<extra_id_0> Philadelphia Eagles <extra_id_1>
36,421,2017,Eiji Kawashima plays for <extra_id_0>.,<extra_id_0> FC Metz <extra_id_1>
37,432,2017,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> OGC Nice <extra_id_1>
38,454,2017,Omar Abdulrahman plays for <extra_id_0>.,<extra_id_0> United Arab Emirates national football team <extra_id_1>
39,476,2017,Shahid Afridi plays for <extra_id_0>.,<extra_id_0> Melbourne Renegades <extra_id_1>
40,487,2017,Kostas Manolas plays for <extra_id_0>.,<extra_id_0> A.S. Roma <extra_id_1>
41,498,2017,Diego Forlán plays for <extra_id_0>.,<extra_id_0> Club Atlético Cottolengo Don Orione <extra_id_1>
42,509,2017,Rafael van der Vaart plays for <extra_id_0>.,<extra_id_0> Real Betis Balompié <extra_id_1>
43,532,2017,Vincenzo Nibali plays for <extra_id_0>.,<extra_id_0> Bahrain-McLaren <extra_id_1>
44,543,2017,Shane Duffy plays for <extra_id_0>.,<extra_id_0> Republic of Ireland national association football team <extra_id_1>
45,561,2017,Diego Biseswar plays for <extra_id_0>.,<extra_id_0> Kayserispor <extra_id_1>
46,577,2017,Yohan Cabaye plays for <extra_id_0>.,<extra_id_0> Crystal Palace F.C. <extra_id_1>
47,588,2017,Emmanuel Adebayor plays for <extra_id_0>.,<extra_id_0> İstanbul Başakşehir FC <extra_id_1>
48,599,2017,Patrick Bamford plays for <extra_id_0>.,<extra_id_0> Norwich City F.C. <extra_id_1>
49,610,2017,Steve Jones plays for <extra_id_0>.,<extra_id_0> Nantwich Town F.C. <extra_id_1>
50,621,2017,Mikel John Obi plays for <extra_id_0>.,<extra_id_0> Tianjin Teda F.C. <extra_id_1>
51,632,2017,Maria Jose Altamirano plays for <extra_id_0>.,<extra_id_0> Lokomotiv Baku <extra_id_1>
52,643,2017,Sölvi Ottesen plays for <extra_id_0>.,<extra_id_0> Wuhan Zall F.C. <extra_id_1>
53,661,2017,Umar Akmal plays for <extra_id_0>.,<extra_id_0> Lahore Qalandars <extra_id_1>
54,675,2017,Deshaun Watson plays for <extra_id_0>.,<extra_id_0> Houston Texans <extra_id_1>
55,686,2017,Jacoby Ellsbury plays for <extra_id_0>.,<extra_id_0> New York Yankees <extra_id_1>
56,696,2017,Raúl Jiménez plays for <extra_id_0>.,<extra_id_0> Mexico national football team <extra_id_1>
57,703,2017,Tyler Ulis plays for <extra_id_0>.,<extra_id_0> Phoenix Suns <extra_id_1>
58,713,2017,Mathieu Valbuena plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
59,727,2017,Kylian Mbappé plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
60,738,2017,Jimmy Abdou plays for <extra_id_0>.,<extra_id_0> Comoros national football team <extra_id_1>
61,749,2017,Ashley Cole plays for <extra_id_0>.,<extra_id_0> Los Angeles Galaxy <extra_id_1>
62,763,2017,Calais Campbell plays for <extra_id_0>.,<extra_id_0> Arizona Cardinals <extra_id_1>
63,767,2017,Jamal Crawford plays for <extra_id_0>.,<extra_id_0> Minnesota Timberwolves <extra_id_1>
64,778,2017,Joe Cole plays for <extra_id_0>.,<extra_id_0> Tampa Bay Rowdies <extra_id_1>
65,787,2017,Gary Cahill plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
66,798,2017,J. J. Redick plays for <extra_id_0>.,<extra_id_0> Los Angeles Clippers <extra_id_1>
67,809,2017,James Taylor plays for <extra_id_0>.,<extra_id_0> Nottinghamshire County Cricket Club <extra_id_1>
68,826,2017,Callum Ferguson plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
69,842,2017,Hamdi Salihi plays for <extra_id_0>.,<extra_id_0> SC Wiener Neustadt <extra_id_1>
70,853,2017,Clayton Donaldson plays for <extra_id_0>.,<extra_id_0> Birmingham City F.C. <extra_id_1>
71,864,2017,Rangana Herath plays for <extra_id_0>.,<extra_id_0> Tamil Union Cricket and Athletic Club <extra_id_1>
72,881,2017,Kevin Trapp plays for <extra_id_0>.,<extra_id_0> Germany national association football team <extra_id_1>
73,890,2017,Kristaps Porziņģis plays for <extra_id_0>.,<extra_id_0> New York Knicks <extra_id_1>
74,901,2017,Elis Bakaj plays for <extra_id_0>.,<extra_id_0> FK Kukësi <extra_id_1>
75,917,2017,Blaise Matuidi plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
76,928,2017,Filipe Morais plays for <extra_id_0>.,<extra_id_0> Bradford City A.F.C. <extra_id_1>
77,944,2017,Patrick Mahomes plays for <extra_id_0>.,<extra_id_0> Kansas City Chiefs <extra_id_1>
78,967,2017,Zesh Rehman plays for <extra_id_0>.,<extra_id_0> Kitchee SC <extra_id_1>
79,984,2017,Lasith Malinga plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
80,996,2017,Benji Marshall plays for <extra_id_0>.,<extra_id_0> St. George Illawarra Dragons <extra_id_1>
81,1006,2017,Auston Matthews plays for <extra_id_0>.,<extra_id_0> Toronto Maple Leafs <extra_id_1>
82,1017,2017,Jeroen Zoet plays for <extra_id_0>.,<extra_id_0> Netherlands national association football team <extra_id_1>
83,1043,2017,Anderson plays for <extra_id_0>.,<extra_id_0> S.C. Internacional <extra_id_1>
84,1060,2017,Isaiah Thomas plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
85,1071,2017,John Degenkolb plays for <extra_id_0>.,<extra_id_0> Trek-Segafredo <extra_id_1>
86,1079,2017,Alex Hales plays for <extra_id_0>.,<extra_id_0> T10 League <extra_id_1>
87,1090,2017,Chris Beardsley plays for <extra_id_0>.,<extra_id_0> Mansfield Town F.C. <extra_id_1>
88,1101,2017,Moussa Sissoko plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
89,1112,2017,Jonathan Sexton plays for <extra_id_0>.,<extra_id_0> British & Irish Lions <extra_id_1>
90,1123,2017,Tim Paine plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
91,1134,2017,Patrick Kisnorbo plays for <extra_id_0>.,<extra_id_0> Melbourne City Football Club <extra_id_1>
92,1145,2017,Andrew Bogut plays for <extra_id_0>.,<extra_id_0> Cleveland Cavaliers <extra_id_1>
93,1156,2017,Tommy Elphick plays for <extra_id_0>.,<extra_id_0> AFC Bournemouth <extra_id_1>
94,1167,2017,David Edgar plays for <extra_id_0>.,<extra_id_0> Canada men's national soccer team <extra_id_1>
95,1177,2017,Paulo Dybala plays for <extra_id_0>.,<extra_id_0> Juventus FC <extra_id_1>
96,1194,2017,Wout Brama plays for <extra_id_0>.,<extra_id_0> PEC Zwolle <extra_id_1>
97,1205,2017,Victor Oladipo plays for <extra_id_0>.,<extra_id_0> Indiana Pacers <extra_id_1>
98,1216,2017,Víctor Ibarbo plays for <extra_id_0>.,<extra_id_0> Colombia national football team <extra_id_1>
99,1230,2017,Anthony Martial plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
100,1241,2017,Gentjan Muça plays for <extra_id_0>.,<extra_id_0> KF Tirana <extra_id_1>
101,1252,2017,Owen Farrell plays for <extra_id_0>.,<extra_id_0> England national rugby union team <extra_id_1>
102,1263,2017,Tyler Clippard plays for <extra_id_0>.,<extra_id_0> New York Mets <extra_id_1>
103,1274,2017,Dejan Lovren plays for <extra_id_0>.,<extra_id_0> Liverpool F.C. <extra_id_1>
104,1288,2017,Salomon Kalou plays for <extra_id_0>.,<extra_id_0> Hertha BSC <extra_id_1>
105,1299,2017,Xherdan Shaqiri plays for <extra_id_0>.,<extra_id_0> Swiss national football team <extra_id_1>
106,1310,2017,Tom Kennedy plays for <extra_id_0>.,<extra_id_0> Rochdale A.F.C. <extra_id_1>
107,1321,2017,Raphaël Varane plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
108,1364,2017,John Guidetti plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
109,1375,2017,Karim Matmour plays for <extra_id_0>.,<extra_id_0> Huddersfield Town A.F.C. <extra_id_1>
110,1386,2017,Greg Pearson plays for <extra_id_0>.,<extra_id_0> Hinckley A.F.C. <extra_id_1>
111,1399,2017,Sanchez Watt plays for <extra_id_0>.,<extra_id_0> Kerala Blasters FC <extra_id_1>
112,1424,2017,Adam Priestley plays for <extra_id_0>.,<extra_id_0> Shaw Lane Aquaforce F.C. <extra_id_1>
113,1435,2017,Glen Johnson plays for <extra_id_0>.,<extra_id_0> Stoke City F.C. <extra_id_1>
114,1444,2017,Agon Mehmeti plays for <extra_id_0>.,<extra_id_0> Stabæk Fotball <extra_id_1>
115,1455,2017,Marta plays for <extra_id_0>.,<extra_id_0> FC Rosengård <extra_id_1>
116,1466,2017,Hashim Mahomed Amla plays for <extra_id_0>.,<extra_id_0> Kings XI Punjab <extra_id_1>
117,1477,2017,Andrea Bargnani plays for <extra_id_0>.,<extra_id_0> Saski Baskonia <extra_id_1>
118,1487,2017,Teddy Bridgewater plays for <extra_id_0>.,<extra_id_0> Minnesota Vikings <extra_id_1>
119,1497,2017,Thibaut Curtua plays for <extra_id_0>.,<extra_id_0> Belgium national football team <extra_id_1>
120,1514,2017,Jérôme Boateng plays for <extra_id_0>.,<extra_id_0> FC Bayern Munich <extra_id_1>
121,1525,2017,Zoltán Stieber plays for <extra_id_0>.,<extra_id_0> Hungary national association football team <extra_id_1>
122,1548,2017,Babar Azam plays for <extra_id_0>.,<extra_id_0> Zarai Taraqiati Bank Ltd cricket team <extra_id_1>
123,1559,2017,Gareth Barry plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
124,1570,2017,Jermaine Pennant plays for <extra_id_0>.,<extra_id_0> Tampines Rovers FC <extra_id_1>
125,1581,2017,Chris Baird plays for <extra_id_0>.,<extra_id_0> Derby County F.C. <extra_id_1>
126,1592,2017,André Ayew plays for <extra_id_0>.,<extra_id_0> Swansea City A.F.C. <extra_id_1>
127,1603,2017,Kevin Nolan plays for <extra_id_0>.,<extra_id_0> Leyton Orient F.C. <extra_id_1>
128,1614,2017,Steven Naismith plays for <extra_id_0>.,<extra_id_0> Norwich City F.C. <extra_id_1>
129,1624,2017,Deandre Ayton plays for <extra_id_0>.,<extra_id_0> Arizona Wildcats men's basketball <extra_id_1>
130,1635,2017,Alex Oxlade-Chamberlain plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
131,1646,2017,Nikola Mirotić plays for <extra_id_0>.,<extra_id_0> Chicago Bulls <extra_id_1>
132,1657,2017,Katie Chapman plays for <extra_id_0>.,<extra_id_0> Chelsea L.F.C. <extra_id_1>
133,1668,2017,Teddy Chevalier plays for <extra_id_0>.,<extra_id_0> Çaykur Rizespor <extra_id_1>
134,1679,2017,Lewis Holtby plays for <extra_id_0>.,<extra_id_0> Hamburger SV <extra_id_1>
135,1692,2017,Adam Chicksen plays for <extra_id_0>.,<extra_id_0> Brighton & Hove Albion F.C. <extra_id_1>
136,1709,2017,Óscar Cardozo plays for <extra_id_0>.,<extra_id_0> Olympiacos F.C. <extra_id_1>
137,1717,2017,Renato Sanches plays for <extra_id_0>.,<extra_id_0> Portugal national association football team <extra_id_1>
138,1726,2017,Richard Cresswell plays for <extra_id_0>.,<extra_id_0> Tadcaster Albion A.F.C. <extra_id_1>
139,1733,2017,Emre Can plays for <extra_id_0>.,<extra_id_0> Germany national association football team <extra_id_1>
140,1761,2017,Robert Snodgrass plays for <extra_id_0>.,<extra_id_0> Scotland national football team <extra_id_1>
141,1772,2017,Kieron Pollard plays for <extra_id_0>.,<extra_id_0> Cape Cobras <extra_id_1>
142,1783,2017,Kenneth Vermeer plays for <extra_id_0>.,<extra_id_0> Feyenoord <extra_id_1>
143,1794,2017,Matty Fryatt plays for <extra_id_0>.,<extra_id_0> Nottingham Forest F.C. <extra_id_1>
144,1805,2017,Niall McGinn plays for <extra_id_0>.,<extra_id_0> Aberdeen F.C. <extra_id_1>
145,1816,2017,Nathan Redmond plays for <extra_id_0>.,<extra_id_0> England national under-21 football team <extra_id_1>
146,1827,2017,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Iran national football team <extra_id_1>
147,1841,2017,Robert Green plays for <extra_id_0>.,<extra_id_0> Queens Park Rangers F.C. <extra_id_1>
148,1852,2017,Matt Godden plays for <extra_id_0>.,<extra_id_0> Ebbsfleet United F.C. <extra_id_1>
149,1863,2017,Robert Mugabe holds the position of <extra_id_0>.,<extra_id_0> President of Zimbabwe <extra_id_1>
150,1873,2017,Recep Tayyip Erdoğan holds the position of <extra_id_0>.,<extra_id_0> President of Turkey <extra_id_1>
151,1884,2017,Boris Johnson holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for Foreign and Commonwealth Affairs <extra_id_1>
152,1895,2017,Vladimir Putin holds the position of <extra_id_0>.,<extra_id_0> Supreme Commander-in-Chief of the Armed Forces of the Russian Federation <extra_id_1>
153,1906,2017,Mike Pence holds the position of <extra_id_0>.,<extra_id_0> Vice President of the United States <extra_id_1>
154,1916,2017,Scott Pruitt holds the position of <extra_id_0>.,<extra_id_0> Attorney General of Oklahoma <extra_id_1>
155,1927,2017,Rafael Correa Delgado holds the position of <extra_id_0>.,<extra_id_0> President of Ecuador <extra_id_1>
156,1931,2017,Ralph Northam holds the position of <extra_id_0>.,<extra_id_0> Lieutenant Governor of Virginia <extra_id_1>
157,1942,2017,Richard Blumenthal holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
158,1953,2017,Jeff Sessions holds the position of <extra_id_0>.,<extra_id_0> United States Attorney General <extra_id_1>
159,1961,2017,Emmerson Mnangagwa holds the position of <extra_id_0>.,<extra_id_0> Vice President of Zimbabwe <extra_id_1>
160,1979,2017,Dmitry Medvedev holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Russia <extra_id_1>
161,1990,2017,Lee Jae-myung holds the position of <extra_id_0>.,<extra_id_0> mayor <extra_id_1>
162,2002,2017,Liam Fox holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for International Trade <extra_id_1>
163,2018,2017,Mike Pompeo holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
164,2035,2017,Enda Kenny holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
165,2046,2017,Steve Cohen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
166,2057,2017,Mitch McConnell holds the position of <extra_id_0>.,<extra_id_0> Majority Leader of the United States Senate <extra_id_1>
167,2068,2017,Eric Garcetti holds the position of <extra_id_0>.,<extra_id_0> Mayor of the City of Los Angeles <extra_id_1>
168,2076,2017,Frank-Walter Steinmeier holds the position of <extra_id_0>.,<extra_id_0> president of Germany <extra_id_1>
169,2087,2017,Jeff Flake holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
170,2096,2017,Andrew Scheer holds the position of <extra_id_0>.,<extra_id_0> Leader of the Official Opposition <extra_id_1>
171,2105,2017,Aleksandar Vučić holds the position of <extra_id_0>.,<extra_id_0> President of Serbia <extra_id_1>
172,2115,2017,Anerood Jugnauth holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Mauritius <extra_id_1>
173,2118,2017,Jody Wilson-Raybould holds the position of <extra_id_0>.,<extra_id_0> Minister of Justice and Attorney General of Canada <extra_id_1>
174,2128,2017,James R. Clapper holds the position of <extra_id_0>.,<extra_id_0> Director of National Intelligence <extra_id_1>
175,2139,2017,Mike Honda holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
176,2147,2017,Pranab Mukherjee holds the position of <extra_id_0>.,<extra_id_0> President of India <extra_id_1>
177,2152,2017,Peter Dutton holds the position of <extra_id_0>.,<extra_id_0> Minister for Home Affairs <extra_id_1>
178,2162,2017,Kenneth Clarke holds the position of <extra_id_0>.,<extra_id_0> Father of the House <extra_id_1>
179,2175,2017,Nicola Sturgeon holds the position of <extra_id_0>.,<extra_id_0> First Minister of Scotland <extra_id_1>
180,2186,2017,Mahmoud Abbas holds the position of <extra_id_0>.,<extra_id_0> President of the State of Palestine <extra_id_1>
181,2197,2017,Abdul Taib Mahmud holds the position of <extra_id_0>.,<extra_id_0> Yang di-Pertua Negeri of Sarawak <extra_id_1>
182,2208,2017,Joe Donnelly holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
183,2216,2017,Salman of Saudi Arabia holds the position of <extra_id_0>.,<extra_id_0> King of Saudi Arabia <extra_id_1>
184,2224,2017,Mark Meadows holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
185,2234,2017,Tim Scott holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
186,2244,2017,Oleksandr Turchynov holds the position of <extra_id_0>.,<extra_id_0> Chairman of the Verkhovna Rada <extra_id_1>
187,2249,2017,Keir Starmer holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Exiting the European Union <extra_id_1>
188,2260,2017,Viviane Reding holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
189,2276,2017,Thomas Massie holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
190,2283,2017,Andrej Plenković holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Croatia <extra_id_1>
191,2295,2017,John F. Kelly holds the position of <extra_id_0>.,<extra_id_0> White House Chief of Staff <extra_id_1>
192,2305,2017,Roy Blunt holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
193,2316,2017,Li Keqiang holds the position of <extra_id_0>.,<extra_id_0> Premier of the State Council of the People's Republic of China <extra_id_1>
194,2321,2017,Karen Handel holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
195,2331,2017,Andy Burnham holds the position of <extra_id_0>.,<extra_id_0> Mayor of Greater Manchester <extra_id_1>
196,2342,2017,Serzh Sargsyan holds the position of <extra_id_0>.,<extra_id_0> President of Armenia <extra_id_1>
197,2351,2017,Raúl Castro Ruz holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Cuba <extra_id_1>
198,2362,2017,Tarō Kōno holds the position of <extra_id_0>.,<extra_id_0> Minister for Foreign Affairs <extra_id_1>
199,2367,2017,Carles Puigdemont holds the position of <extra_id_0>.,<extra_id_0> President of the Generalitat of Catalonia <extra_id_1>
200,2383,2017,Kristi Noem holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
201,2400,2017,Pete Hoekstra holds the position of <extra_id_0>.,<extra_id_0> United States Ambassador to the Netherlands <extra_id_1>
202,2411,2017,Dominic Grieve holds the position of <extra_id_0>.,<extra_id_0> Advocate General for Northern Ireland <extra_id_1>
203,2418,2017,Sean Spicer holds the position of <extra_id_0>.,<extra_id_0> White House Press Secretary <extra_id_1>
204,2433,2017,Jim Sensenbrenner holds the position of <extra_id_0>.,<extra_id_0> delegate <extra_id_1>
205,2438,2017,Chrystia Freeland holds the position of <extra_id_0>.,<extra_id_0> Minister of International Trade <extra_id_1>
206,2449,2017,Bill Cassidy holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
207,2460,2017,Chris Van Hollen holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
208,2469,2017,Owen Smith holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Northern Ireland <extra_id_1>
209,2478,2017,László Tőkés holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
210,2488,2017,Bridget McKenzie holds the position of <extra_id_0>.,<extra_id_0> Member of the Australian Senate <extra_id_1>
211,2494,2017,Sally Yates holds the position of <extra_id_0>.,<extra_id_0> United States Attorney General <extra_id_1>
212,2502,2017,Stefan Löfven holds the position of <extra_id_0>.,<extra_id_0> party leader <extra_id_1>
213,2513,2017,Brian Schatz holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
214,2523,2017,Mario Monti holds the position of <extra_id_0>.,<extra_id_0> senatore a vita <extra_id_1>
215,2534,2017,Malusi Gigaba holds the position of <extra_id_0>.,<extra_id_0> Minister of Home Affairs <extra_id_1>
216,2542,2017,Damian Green holds the position of <extra_id_0>.,<extra_id_0> First Secretary of State <extra_id_1>
217,2551,2017,Almazbek Atambayev holds the position of <extra_id_0>.,<extra_id_0> President of Kyrgyzstan <extra_id_1>
218,2562,2017,Trey Gowdy holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
219,2566,2017,Rebecca Long-Bailey holds the position of <extra_id_0>.,"<extra_id_0> Shadow Secretary of State for Business, Innovation and Skills <extra_id_1>"
220,2585,2017,Jane Philpott holds the position of <extra_id_0>.,<extra_id_0> Minister of Health <extra_id_1>
221,2597,2017,Arun Jaitley holds the position of <extra_id_0>.,<extra_id_0> Minister of Finance <extra_id_1>
222,2612,2017,Hubertus Leteng holds the position of <extra_id_0>.,<extra_id_0> diocesan bishop <extra_id_1>
223,2623,2017,Xavier Becerra holds the position of <extra_id_0>.,<extra_id_0> Attorney General of California <extra_id_1>
224,2634,2017,Phil Hogan holds the position of <extra_id_0>.,<extra_id_0> European Commissioner for Agriculture and Rural Development <extra_id_1>
225,2645,2017,"Daniel M. Donovan, Jr. holds the position of <extra_id_0>.",<extra_id_0> United States representative <extra_id_1>
226,2654,2017,Knut Arild Hareide holds the position of <extra_id_0>.,<extra_id_0> party leader <extra_id_1>
227,2659,2017,Richard Burgon holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Justice <extra_id_1>
228,2670,2017,Abdrabbuh Mansour Hadi holds the position of <extra_id_0>.,<extra_id_0> President of Yemenمهدي محمد المشاط <extra_id_1>
229,2676,2017,Steven Ciobo holds the position of <extra_id_0>.,<extra_id_0> Minister for Trade <extra_id_1>
230,2697,2017,Tabaré Vázquez holds the position of <extra_id_0>.,<extra_id_0> President of Uruguay <extra_id_1>
231,2707,2017,Jeff Colyer holds the position of <extra_id_0>.,<extra_id_0> Lieutenant Governor of Kansas <extra_id_1>
232,2712,2017,Robert Barron holds the position of <extra_id_0>.,<extra_id_0> auxiliary bishop <extra_id_1>
233,2723,2017,Eric Chu holds the position of <extra_id_0>.,<extra_id_0> Mayor of New Taipei <extra_id_1>
234,2732,2017,Wang Qishan holds the position of <extra_id_0>.,<extra_id_0> Secretary of the Central Commission for Discipline Inspection <extra_id_1>
235,2740,2017,Michael Fallon holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for Defence <extra_id_1>
236,2747,2017,Gilad Erdan holds the position of <extra_id_0>.,<extra_id_0> Information Minister of Israel <extra_id_1>
237,2758,2017,Rodney L. Davis holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
238,2780,2017,Margrethe Vestager holds the position of <extra_id_0>.,<extra_id_0> European Commissioner for Competition <extra_id_1>
239,2787,2017,"Michael Bates, Baron Bates holds the position of <extra_id_0>.",<extra_id_0> Department for International Development <extra_id_1>
240,2794,2017,Ruben Kihuen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
241,2804,2017,Virginia Foxx holds the position of <extra_id_0>.,<extra_id_0> Republican Conference Secretary of the United States House of Representatives <extra_id_1>
242,2822,2017,James Comer holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
243,2827,2017,Penny Mordaunt holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for International Development <extra_id_1>
244,2837,2017,Édouard Philippe holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of France <extra_id_1>
245,2844,2017,Manohar Parrikar holds the position of <extra_id_0>.,<extra_id_0> Member of Rajya Sabha <extra_id_1>
246,2853,2017,Timothy M. Keller holds the position of <extra_id_0>.,<extra_id_0> Mayor of Albuquerque <extra_id_1>
247,2862,2017,Lawrence Thomas Persico holds the position of <extra_id_0>.,<extra_id_0> diocesan bishop <extra_id_1>
248,2875,2017,David Hurley holds the position of <extra_id_0>.,<extra_id_0> Governor of New South Wales <extra_id_1>
249,2886,2017,David McAllister holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
