index,original,date,input,output
23,225,2010,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Weber State Wildcats men's basketball <extra_id_1>
24,236,2010,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Futebol Clube do Porto <extra_id_1>
25,247,2010,Darren Lockyer plays for <extra_id_0>.,<extra_id_0> Australia national rugby league team <extra_id_1>
26,255,2010,Javier Hernández plays for <extra_id_0>.,<extra_id_0> C.D. Guadalajara <extra_id_1>
27,266,2010,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
28,277,2010,Karmichael Hunt plays for <extra_id_0>.,<extra_id_0> Biarritz Olympique <extra_id_1>
29,284,2010,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
30,295,2010,Sourav Ganguly plays for <extra_id_0>.,<extra_id_0> Bengal cricket team <extra_id_1>
31,298,2010,Xabi Alonso plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
32,306,2010,Jonny Wilkinson plays for <extra_id_0>.,<extra_id_0> England national rugby union team <extra_id_1>
33,311,2010,Kyrie Irving plays for <extra_id_0>.,<extra_id_0> Duke Blue Devils men's basketball <extra_id_1>
34,317,2010,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Somerset County Cricket Club <extra_id_1>
35,328,2010,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Japan national football team <extra_id_1>
36,339,2010,Chauncey Billups plays for <extra_id_0>.,<extra_id_0> Denver Nuggets <extra_id_1>
37,344,2010,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Club Guaraní <extra_id_1>
38,355,2010,Jermaine O'Neal plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
39,360,2010,Carlos Vela plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
40,370,2010,Nani plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
41,381,2010,Edinson Cavani plays for <extra_id_0>.,<extra_id_0> S.S.C. Napoli <extra_id_1>
42,392,2010,Steve Morison plays for <extra_id_0>.,<extra_id_0> Wales national association football team <extra_id_1>
43,403,2010,Sam Bradford plays for <extra_id_0>.,<extra_id_0> Los Angeles Rams <extra_id_1>
44,414,2010,Eiji Kawashima plays for <extra_id_0>.,<extra_id_0> Kawasaki Frontale <extra_id_1>
45,425,2010,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
46,436,2010,Lee Boylan plays for <extra_id_0>.,<extra_id_0> Stevenage F.C. <extra_id_1>
47,441,2010,Jennison Myrie-Williams plays for <extra_id_0>.,<extra_id_0> Dundee United F.C. <extra_id_1>
48,447,2010,Omar Abdulrahman plays for <extra_id_0>.,<extra_id_0> United Arab Emirates national under-23 football team <extra_id_1>
49,458,2010,Jarryd Hayne plays for <extra_id_0>.,<extra_id_0> Australia national rugby league team <extra_id_1>
50,463,2010,Tom Ince plays for <extra_id_0>.,<extra_id_0> Notts County F.C. <extra_id_1>
51,469,2010,Shahid Afridi plays for <extra_id_0>.,<extra_id_0> South Australia cricket team <extra_id_1>
52,480,2010,Kostas Manolas plays for <extra_id_0>.,<extra_id_0> A.E.K. Athens F.C. <extra_id_1>
53,491,2010,Diego Forlán plays for <extra_id_0>.,<extra_id_0> Atlético Madrid <extra_id_1>
54,502,2010,Rafael van der Vaart plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
55,515,2010,Jens Voigt plays for <extra_id_0>.,<extra_id_0> Tinkoff <extra_id_1>
56,520,2010,Sue Bird plays for <extra_id_0>.,<extra_id_0> WBC Spartak Moscow Region <extra_id_1>
57,525,2010,Vincenzo Nibali plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
58,536,2010,Shane Duffy plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
59,547,2010,Stephen Dobbie plays for <extra_id_0>.,<extra_id_0> Blackpool F.C. <extra_id_1>
60,554,2010,Diego Biseswar plays for <extra_id_0>.,<extra_id_0> Netherlands national under-21 football team <extra_id_1>
61,565,2010,Tillakaratne Dilshan plays for <extra_id_0>.,<extra_id_0> Sri Lanka national cricket team <extra_id_1>
62,570,2010,Yohan Cabaye plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
63,581,2010,Emmanuel Adebayor plays for <extra_id_0>.,<extra_id_0> Manchester City F.C. <extra_id_1>
64,592,2010,Patrick Bamford plays for <extra_id_0>.,<extra_id_0> England national under-18 football team <extra_id_1>
65,603,2010,Steve Jones plays for <extra_id_0>.,<extra_id_0> Walsall F.C. <extra_id_1>
66,614,2010,Mikel John Obi plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
67,625,2010,Maria Jose Altamirano plays for <extra_id_0>.,<extra_id_0> Mirador Volleyball <extra_id_1>
68,636,2010,Sölvi Ottesen plays for <extra_id_0>.,<extra_id_0> F.C. Copenhagen <extra_id_1>
69,647,2010,Steve Smith Sr. plays for <extra_id_0>.,<extra_id_0> Carolina Panthers <extra_id_1>
70,654,2010,Umar Akmal plays for <extra_id_0>.,<extra_id_0> Sui Northern Gas Pipelines Limited <extra_id_1>
71,665,2010,Kirk Hinrich plays for <extra_id_0>.,<extra_id_0> Washington Wizards <extra_id_1>
72,679,2010,Jacoby Ellsbury plays for <extra_id_0>.,<extra_id_0> Boston Red Sox <extra_id_1>
73,706,2010,Mathieu Valbuena plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
74,717,2010,Armand Traoré plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
75,731,2010,Jimmy Abdou plays for <extra_id_0>.,<extra_id_0> Comoros national football team <extra_id_1>
76,742,2010,Ashley Cole plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
77,752,2010,Jamie Carragher plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
78,756,2010,Calais Campbell plays for <extra_id_0>.,<extra_id_0> Arizona Cardinals <extra_id_1>
79,771,2010,Joe Cole plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
80,780,2010,Gary Cahill plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
81,791,2010,J. J. Redick plays for <extra_id_0>.,<extra_id_0> Orlando Magic <extra_id_1>
82,802,2010,James Taylor plays for <extra_id_0>.,<extra_id_0> Leicestershire County Cricket Club <extra_id_1>
83,813,2010,Edwin van der Sar plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
84,816,2010,Graeme Swann plays for <extra_id_0>.,<extra_id_0> Nottinghamshire County Cricket Club <extra_id_1>
85,830,2010,Daniel Xhafa plays for <extra_id_0>.,<extra_id_0> Flamurtari Vlorë <extra_id_1>
86,836,2010,Hamdi Salihi plays for <extra_id_0>.,<extra_id_0> SK Rapid Wien <extra_id_1>
87,846,2010,Clayton Donaldson plays for <extra_id_0>.,<extra_id_0> Crewe Alexandra F.C. <extra_id_1>
88,857,2010,Rangana Herath plays for <extra_id_0>.,<extra_id_0> Wayamba cricket team <extra_id_1>
89,868,2010,Sébastien Bassong plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
90,874,2010,Kevin Trapp plays for <extra_id_0>.,<extra_id_0> Germany national under-21 football team <extra_id_1>
91,894,2010,Elis Bakaj plays for <extra_id_0>.,<extra_id_0> Albania national association football team <extra_id_1>
92,905,2010,David James plays for <extra_id_0>.,<extra_id_0> Portsmouth F.C. <extra_id_1>
93,910,2010,Blaise Matuidi plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
94,921,2010,Filipe Morais plays for <extra_id_0>.,<extra_id_0> Oldham Athletic A.F.C. <extra_id_1>
95,932,2010,Ki Sung-yueng plays for <extra_id_0>.,<extra_id_0> South Korea national under-23 football team <extra_id_1>
96,937,2010,Ronan O'Gara plays for <extra_id_0>.,<extra_id_0> Munster Rugby <extra_id_1>
97,948,2010,André-Pierre Gignac plays for <extra_id_0>.,<extra_id_0> Olympique de Marseille <extra_id_1>
98,954,2010,Marouane Chamakh plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
99,971,2010,Matt Prior plays for <extra_id_0>.,<extra_id_0> England and Wales cricket team <extra_id_1>
100,977,2010,Lasith Malinga plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
101,987,2010,Jens Lehmann plays for <extra_id_0>.,<extra_id_0> VfB Stuttgart <extra_id_1>
102,989,2010,Benji Marshall plays for <extra_id_0>.,<extra_id_0> Wests Tigers <extra_id_1>
103,1000,2010,Erjon Bogdani plays for <extra_id_0>.,<extra_id_0> Albania national association football team <extra_id_1>
104,1010,2010,Jeroen Zoet plays for <extra_id_0>.,<extra_id_0> Netherlands national under-19 football team <extra_id_1>
105,1024,2010,Michael Clarke plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
106,1030,2010,Sol Bamba plays for <extra_id_0>.,<extra_id_0> Hibernian F.C. <extra_id_1>
107,1036,2010,Anderson plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
108,1047,2010,Jacques Kallis plays for <extra_id_0>.,<extra_id_0> Royal Challengers Bangalore <extra_id_1>
109,1053,2010,Isaiah Thomas plays for <extra_id_0>.,<extra_id_0> Washington Huskies men's basketball <extra_id_1>
110,1064,2010,John Degenkolb plays for <extra_id_0>.,<extra_id_0> Thüringer Energie <extra_id_1>
111,1083,2010,Chris Beardsley plays for <extra_id_0>.,<extra_id_0> Stevenage F.C. <extra_id_1>
112,1094,2010,Moussa Sissoko plays for <extra_id_0>.,<extra_id_0> France national under-21 football team <extra_id_1>
113,1105,2010,Jonathan Sexton plays for <extra_id_0>.,<extra_id_0> Leinster Rugby <extra_id_1>
114,1116,2010,Tim Paine plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
115,1127,2010,Patrick Kisnorbo plays for <extra_id_0>.,<extra_id_0> Leeds United F.C. <extra_id_1>
116,1138,2010,Andrew Bogut plays for <extra_id_0>.,<extra_id_0> Milwaukee Bucks <extra_id_1>
117,1146,2010,Marco Materazzi plays for <extra_id_0>.,<extra_id_0> Inter Milan <extra_id_1>
118,1149,2010,Tommy Elphick plays for <extra_id_0>.,<extra_id_0> Brighton & Hove Albion F.C. <extra_id_1>
119,1160,2010,David Edgar plays for <extra_id_0>.,<extra_id_0> Burnley F.C. <extra_id_1>
120,1181,2010,Gary Roberts plays for <extra_id_0>.,<extra_id_0> Rotherham United F.C. <extra_id_1>
121,1187,2010,Wout Brama plays for <extra_id_0>.,<extra_id_0> Netherlands national association football team <extra_id_1>
122,1198,2010,Victor Oladipo plays for <extra_id_0>.,<extra_id_0> Indiana Hoosiers men's basketball <extra_id_1>
123,1209,2010,Víctor Ibarbo plays for <extra_id_0>.,<extra_id_0> Atlético Nacional <extra_id_1>
124,1220,2010,Owen Hargreaves plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
125,1223,2010,Anthony Martial plays for <extra_id_0>.,<extra_id_0> France national under-16 football team <extra_id_1>
126,1234,2010,Gentjan Muça plays for <extra_id_0>.,<extra_id_0> KS Dinamo Tirana <extra_id_1>
127,1245,2010,Owen Farrell plays for <extra_id_0>.,<extra_id_0> Bedford Blues <extra_id_1>
128,1256,2010,Tyler Clippard plays for <extra_id_0>.,<extra_id_0> Washington Nationals <extra_id_1>
129,1267,2010,Dejan Lovren plays for <extra_id_0>.,<extra_id_0> Olympique Lyonnais <extra_id_1>
130,1278,2010,Dean Windass plays for <extra_id_0>.,<extra_id_0> Scarborough Athletic F.C. <extra_id_1>
131,1281,2010,Salomon Kalou plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
132,1292,2010,Xherdan Shaqiri plays for <extra_id_0>.,<extra_id_0> Switzerland national under-21 football team <extra_id_1>
133,1303,2010,Tom Kennedy plays for <extra_id_0>.,<extra_id_0> Rochdale A.F.C. <extra_id_1>
134,1314,2010,Raphaël Varane plays for <extra_id_0>.,<extra_id_0> France national under-18 football team <extra_id_1>
135,1325,2010,Michael Hussey plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
136,1332,2010,Tony McMahon plays for <extra_id_0>.,<extra_id_0> Middlesbrough F.C. <extra_id_1>
137,1338,2010,Amr Zaki plays for <extra_id_0>.,<extra_id_0> Hull City A.F.C. <extra_id_1>
138,1344,2010,Mitchell Johnson plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
139,1357,2010,John Guidetti plays for <extra_id_0>.,<extra_id_0> Burnley F.C. <extra_id_1>
140,1368,2010,Karim Matmour plays for <extra_id_0>.,<extra_id_0> Algeria national football team <extra_id_1>
141,1379,2010,Greg Pearson plays for <extra_id_0>.,<extra_id_0> Burton Albion F.C. <extra_id_1>
142,1390,2010,Geoff Horsfield plays for <extra_id_0>.,<extra_id_0> Port Vale F.C. <extra_id_1>
143,1392,2010,Sanchez Watt plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
144,1403,2010,Danny Hollands plays for <extra_id_0>.,<extra_id_0> AFC Bournemouth <extra_id_1>
145,1408,2010,Edgar Davids plays for <extra_id_0>.,<extra_id_0> Suriname national football team <extra_id_1>
146,1412,2010,Aleksandar Đurić plays for <extra_id_0>.,<extra_id_0> Tampines Rovers FC <extra_id_1>
147,1417,2010,Adam Priestley plays for <extra_id_0>.,<extra_id_0> Garforth Town A.F.C. <extra_id_1>
148,1428,2010,Glen Johnson plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
149,1437,2010,Agon Mehmeti plays for <extra_id_0>.,<extra_id_0> Sweden national under-21 football team <extra_id_1>
150,1448,2010,Marta plays for <extra_id_0>.,<extra_id_0> Santos FC <extra_id_1>
151,1459,2010,Hashim Mahomed Amla plays for <extra_id_0>.,<extra_id_0> Dolphins cricket team <extra_id_1>
152,1470,2010,Andrea Bargnani plays for <extra_id_0>.,<extra_id_0> Toronto Raptors <extra_id_1>
153,1490,2010,Thibaut Curtua plays for <extra_id_0>.,<extra_id_0> Belgium national under-18 football team <extra_id_1>
154,1501,2010,Marcelo plays for <extra_id_0>.,<extra_id_0> Brazil Olympic football team <extra_id_1>
155,1507,2010,Jérôme Boateng plays for <extra_id_0>.,<extra_id_0> Hamburger SV <extra_id_1>
156,1518,2010,Zoltán Stieber plays for <extra_id_0>.,<extra_id_0> TuS Koblenz <extra_id_1>
157,1529,2010,Ali Karimi plays for <extra_id_0>.,<extra_id_0> Iran national football team <extra_id_1>
158,1534,2010,Grétar Steinsson plays for <extra_id_0>.,<extra_id_0> Iceland national association football team <extra_id_1>
159,1538,2010,Jimmy Bullard plays for <extra_id_0>.,<extra_id_0> Hull City A.F.C. <extra_id_1>
160,1541,2010,Babar Azam plays for <extra_id_0>.,<extra_id_0> Zarai Taraqiati Bank Ltd cricket team <extra_id_1>
161,1552,2010,Gareth Barry plays for <extra_id_0>.,<extra_id_0> Manchester City F.C. <extra_id_1>
162,1563,2010,Jermaine Pennant plays for <extra_id_0>.,<extra_id_0> Stoke City F.C. <extra_id_1>
163,1574,2010,Chris Baird plays for <extra_id_0>.,<extra_id_0> Fulham F.C. <extra_id_1>
164,1585,2010,André Ayew plays for <extra_id_0>.,<extra_id_0> Olympique de Marseille <extra_id_1>
165,1596,2010,Kevin Nolan plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
166,1607,2010,Steven Naismith plays for <extra_id_0>.,<extra_id_0> Rangers F.C. <extra_id_1>
167,1618,2010,Shivnarine Chanderpaul plays for <extra_id_0>.,<extra_id_0> West Indies cricket team <extra_id_1>
168,1628,2010,Alex Oxlade-Chamberlain plays for <extra_id_0>.,<extra_id_0> Southampton F.C. <extra_id_1>
169,1639,2010,Nikola Mirotić plays for <extra_id_0>.,<extra_id_0> Palencia Baloncesto <extra_id_1>
170,1650,2010,Katie Chapman plays for <extra_id_0>.,<extra_id_0> Arsenal W.F.C. <extra_id_1>
171,1661,2010,Teddy Chevalier plays for <extra_id_0>.,<extra_id_0> S.V. Zulte Waregem <extra_id_1>
172,1672,2010,Lewis Holtby plays for <extra_id_0>.,<extra_id_0> VfL Bochum <extra_id_1>
173,1683,2010,Paul Dickov plays for <extra_id_0>.,<extra_id_0> Leicester City F.C. <extra_id_1>
174,1685,2010,Adam Chicksen plays for <extra_id_0>.,<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
175,1696,2010,Jamie Ashdown plays for <extra_id_0>.,<extra_id_0> Portsmouth F.C. <extra_id_1>
176,1702,2010,Óscar Cardozo plays for <extra_id_0>.,<extra_id_0> S.L. Benfica <extra_id_1>
177,1721,2010,Richard Cresswell plays for <extra_id_0>.,<extra_id_0> Stoke City F.C. <extra_id_1>
178,1737,2010,Therese Sjögran plays for <extra_id_0>.,<extra_id_0> Sweden women's national association football team <extra_id_1>
179,1743,2010,Caron Butler plays for <extra_id_0>.,<extra_id_0> Washington Wizards <extra_id_1>
180,1750,2010,Liam Palmer plays for <extra_id_0>.,<extra_id_0> Scotland national under-19 football team <extra_id_1>
181,1754,2010,Robert Snodgrass plays for <extra_id_0>.,<extra_id_0> Leeds United F.C. <extra_id_1>
182,1765,2010,Kieron Pollard plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
183,1776,2010,Kenneth Vermeer plays for <extra_id_0>.,<extra_id_0> AFC Ajax <extra_id_1>
184,1787,2010,Matty Fryatt plays for <extra_id_0>.,<extra_id_0> Leicester City F.C. <extra_id_1>
185,1798,2010,Niall McGinn plays for <extra_id_0>.,<extra_id_0> Celtic F.C. <extra_id_1>
186,1809,2010,Nathan Redmond plays for <extra_id_0>.,<extra_id_0> England national under-17 football team <extra_id_1>
187,1820,2010,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Iran national under-17 football team <extra_id_1>
188,1831,2010,Kakha Kaladze plays for <extra_id_0>.,<extra_id_0> Georgia national football team <extra_id_1>
189,1834,2010,Robert Green plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
190,1845,2010,Matt Godden plays for <extra_id_0>.,<extra_id_0> Ilkeston Town F.C. <extra_id_1>
191,1856,2010,Robert Mugabe holds the position of <extra_id_0>.,<extra_id_0> President of Zimbabwe <extra_id_1>
192,1864,2010,Muammar Gaddafi holds the position of <extra_id_0>.,<extra_id_0> Chairperson of the African Union <extra_id_1>
193,1866,2010,Recep Tayyip Erdoğan holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Turkey <extra_id_1>
194,1877,2010,Boris Johnson holds the position of <extra_id_0>.,<extra_id_0> Mayor of London <extra_id_1>
195,1888,2010,Vladimir Putin holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Russia <extra_id_1>
196,1899,2010,Mike Pence holds the position of <extra_id_0>.,<extra_id_0> Republican Conference Chairman of the United States House of Representatives <extra_id_1>
197,1920,2010,Rafael Correa Delgado holds the position of <extra_id_0>.,<extra_id_0> President pro tempore of the Union of South American Nations <extra_id_1>
198,1935,2010,Richard Blumenthal holds the position of <extra_id_0>.,<extra_id_0> Connecticut Attorney General <extra_id_1>
199,1946,2010,Jeff Sessions holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
200,1956,2010,José Luis Rodríguez Zapatero holds the position of <extra_id_0>.,<extra_id_0> President of the European Council <extra_id_1>
201,1965,2010,Traian Băsescu holds the position of <extra_id_0>.,<extra_id_0> President of Romania <extra_id_1>
202,1972,2010,Dmitry Medvedev holds the position of <extra_id_0>.,<extra_id_0> President of Russia <extra_id_1>
203,1983,2010,Lee Jae-myung holds the position of <extra_id_0>.,<extra_id_0> mayor <extra_id_1>
204,1994,2010,Frank Underwood holds the position of <extra_id_0>.,<extra_id_0> whip <extra_id_1>
205,1999,2010,Liam Fox holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for Defence <extra_id_1>
206,2005,2010,Ed Miliband holds the position of <extra_id_0>.,<extra_id_0> Leader of the Labour Party <extra_id_1>
207,2022,2010,John Baird holds the position of <extra_id_0>.,<extra_id_0> Minister of the Environment <extra_id_1>
208,2028,2010,Enda Kenny holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
209,2039,2010,Steve Cohen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
210,2050,2010,Mitch McConnell holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
211,2061,2010,Eric Garcetti holds the position of <extra_id_0>.,<extra_id_0> President of the Los Angeles City Council <extra_id_1>
212,2080,2010,Jeff Flake holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
213,2109,2010,Anerood Jugnauth holds the position of <extra_id_0>.,<extra_id_0> President of Mauritius <extra_id_1>
214,2121,2010,James R. Clapper holds the position of <extra_id_0>.,<extra_id_0> Under Secretary of Defense for Intelligence <extra_id_1>
215,2132,2010,Mike Honda holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
216,2140,2010,Pranab Mukherjee holds the position of <extra_id_0>.,<extra_id_0> Minister of Finance <extra_id_1>
217,2157,2010,Kenneth Clarke holds the position of <extra_id_0>.,<extra_id_0> Lord Chancellor <extra_id_1>
218,2165,2010,Daniel Inouye holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
219,2168,2010,Nicola Sturgeon holds the position of <extra_id_0>.,<extra_id_0> Cabinet Secretary for Health and Wellbeing <extra_id_1>
220,2179,2010,Mahmoud Abbas holds the position of <extra_id_0>.,<extra_id_0> President of the Palestinian National Authority <extra_id_1>
221,2190,2010,Abdul Taib Mahmud holds the position of <extra_id_0>.,<extra_id_0> Chief Minister of Sarawak <extra_id_1>
222,2201,2010,Joe Donnelly holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
223,2238,2010,Oleksandr Turchynov holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Ukraine <extra_id_1>
224,2253,2010,Viviane Reding holds the position of <extra_id_0>.,"<extra_id_0> European Commissioner for Justice, Fundamental Rights and Citizenship <extra_id_1>"
225,2262,2010,Arseniy Yatsenyuk holds the position of <extra_id_0>.,<extra_id_0> People's Deputy of Ukraine <extra_id_1>
226,2269,2010,Thomas Massie holds the position of <extra_id_0>.,<extra_id_0> County Judge/Executive <extra_id_1>
227,2287,2010,Judith Collins holds the position of <extra_id_0>.,<extra_id_0> Minister of Corrections <extra_id_1>
228,2298,2010,Roy Blunt holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
229,2309,2010,Li Keqiang holds the position of <extra_id_0>.,<extra_id_0> Vice Premier of the State Council of the People's Republic of China <extra_id_1>
230,2320,2010,Karen Handel holds the position of <extra_id_0>.,<extra_id_0> Secretary of State of Georgia <extra_id_1>
231,2324,2010,Andy Burnham holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for Health and Social Care <extra_id_1>
232,2335,2010,Serzh Sargsyan holds the position of <extra_id_0>.,<extra_id_0> President of Armenia <extra_id_1>
233,2344,2010,Raúl Castro Ruz holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Cuba <extra_id_1>
234,2355,2010,Kristina Keneally holds the position of <extra_id_0>.,<extra_id_0> Premier of New South Wales <extra_id_1>
235,2370,2010,Selina Meyer holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
236,2387,2010,Ruairi Quinn holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
237,2394,2010,Alistair Darling holds the position of <extra_id_0>.,<extra_id_0> Chancellor of the Exchequer <extra_id_1>
238,2398,2010,Pete Hoekstra holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
239,2404,2010,Dominic Grieve holds the position of <extra_id_0>.,<extra_id_0> Advocate General for Northern Ireland <extra_id_1>
240,2419,2010,Muhyiddin Yassin holds the position of <extra_id_0>.,<extra_id_0> Minister of Education <extra_id_1>
241,2426,2010,Jim Sensenbrenner holds the position of <extra_id_0>.,<extra_id_0> delegate <extra_id_1>
242,2442,2010,Bill Cassidy holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
243,2453,2010,Chris Van Hollen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
244,2471,2010,László Tőkés holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
245,2495,2010,Stefan Löfven holds the position of <extra_id_0>.,<extra_id_0> chairperson <extra_id_1>
246,2506,2010,Brian Schatz holds the position of <extra_id_0>.,<extra_id_0> Lieutenant Governor of Hawaii <extra_id_1>
247,2527,2010,Malusi Gigaba holds the position of <extra_id_0>.,<extra_id_0> Minister of Public Enterprises <extra_id_1>
248,2536,2010,Damian Green holds the position of <extra_id_0>.,<extra_id_0> Minister of State for Immigration <extra_id_1>
249,2544,2010,Almazbek Atambayev holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Kyrgyzstan <extra_id_1>
250,2555,2010,Trey Gowdy holds the position of <extra_id_0>.,<extra_id_0> solicitor <extra_id_1>
251,2570,2010,Joe Higgins holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
