index,original,date,input,output
70,903,2019,Elis Bakaj plays for <extra_id_0>.,<extra_id_0> FC Shakhtyor Salihorsk <extra_id_1>
71,919,2019,Blaise Matuidi plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
72,930,2019,Filipe Morais plays for <extra_id_0>.,<extra_id_0> Bradford City A.F.C. <extra_id_1>
73,946,2019,Patrick Mahomes plays for <extra_id_0>.,<extra_id_0> Kansas City Chiefs <extra_id_1>
74,969,2019,Zesh Rehman plays for <extra_id_0>.,<extra_id_0> Kitchee SC <extra_id_1>
75,986,2019,Lasith Malinga plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
76,998,2019,Benji Marshall plays for <extra_id_0>.,<extra_id_0> St. George Illawarra Dragons <extra_id_1>
77,1008,2019,Auston Matthews plays for <extra_id_0>.,<extra_id_0> Toronto Maple Leafs <extra_id_1>
78,1019,2019,Jeroen Zoet plays for <extra_id_0>.,<extra_id_0> Netherlands national association football team <extra_id_1>
79,1022,2019,Zion Williamson plays for <extra_id_0>.,<extra_id_0> New Orleans Pelicans <extra_id_1>
80,1045,2019,Anderson plays for <extra_id_0>.,<extra_id_0> S.C. Internacional <extra_id_1>
81,1062,2019,Isaiah Thomas plays for <extra_id_0>.,<extra_id_0> Washington Wizards <extra_id_1>
82,1073,2019,John Degenkolb plays for <extra_id_0>.,<extra_id_0> Trek-Segafredo <extra_id_1>
83,1081,2019,Alex Hales plays for <extra_id_0>.,<extra_id_0> Sunrisers Hyderabad <extra_id_1>
84,1092,2019,Chris Beardsley plays for <extra_id_0>.,<extra_id_0> Mansfield Town F.C. <extra_id_1>
85,1103,2019,Moussa Sissoko plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
86,1114,2019,Jonathan Sexton plays for <extra_id_0>.,<extra_id_0> British & Irish Lions <extra_id_1>
87,1125,2019,Tim Paine plays for <extra_id_0>.,<extra_id_0> Hobart Hurricanes <extra_id_1>
88,1136,2019,Patrick Kisnorbo plays for <extra_id_0>.,<extra_id_0> Melbourne City Football Club <extra_id_1>
89,1158,2019,Tommy Elphick plays for <extra_id_0>.,<extra_id_0> AFC Bournemouth <extra_id_1>
90,1169,2019,David Edgar plays for <extra_id_0>.,<extra_id_0> Canada men's national soccer team <extra_id_1>
91,1179,2019,Paulo Dybala plays for <extra_id_0>.,<extra_id_0> Juventus FC <extra_id_1>
92,1196,2019,Wout Brama plays for <extra_id_0>.,<extra_id_0> PEC Zwolle <extra_id_1>
93,1207,2019,Victor Oladipo plays for <extra_id_0>.,<extra_id_0> Indiana Pacers <extra_id_1>
94,1218,2019,Víctor Ibarbo plays for <extra_id_0>.,<extra_id_0> Colombia national football team <extra_id_1>
95,1232,2019,Anthony Martial plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
96,1243,2019,Gentjan Muça plays for <extra_id_0>.,<extra_id_0> KF Tirana <extra_id_1>
97,1254,2019,Owen Farrell plays for <extra_id_0>.,<extra_id_0> England national rugby union team <extra_id_1>
98,1265,2019,Tyler Clippard plays for <extra_id_0>.,<extra_id_0> New York Mets <extra_id_1>
99,1276,2019,Dejan Lovren plays for <extra_id_0>.,<extra_id_0> Liverpool F.C. <extra_id_1>
100,1290,2019,Salomon Kalou plays for <extra_id_0>.,<extra_id_0> Hertha BSC <extra_id_1>
101,1301,2019,Xherdan Shaqiri plays for <extra_id_0>.,<extra_id_0> Swiss national football team <extra_id_1>
102,1312,2019,Tom Kennedy plays for <extra_id_0>.,<extra_id_0> Rochdale A.F.C. <extra_id_1>
103,1323,2019,Raphaël Varane plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
104,1352,2019,Mitchell Johnson plays for <extra_id_0>.,<extra_id_0> Kolkata Knight Riders <extra_id_1>
105,1355,2019,Danny Green plays for <extra_id_0>.,<extra_id_0> Los Angeles Lakers <extra_id_1>
106,1366,2019,John Guidetti plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
107,1377,2019,Karim Matmour plays for <extra_id_0>.,<extra_id_0> Huddersfield Town A.F.C. <extra_id_1>
108,1388,2019,Greg Pearson plays for <extra_id_0>.,<extra_id_0> Hinckley A.F.C. <extra_id_1>
109,1401,2019,Sanchez Watt plays for <extra_id_0>.,<extra_id_0> Kerala Blasters FC <extra_id_1>
110,1426,2019,Adam Priestley plays for <extra_id_0>.,<extra_id_0> Shaw Lane Aquaforce F.C. <extra_id_1>
111,1446,2019,Agon Mehmeti plays for <extra_id_0>.,<extra_id_0> Stabæk Fotball <extra_id_1>
112,1457,2019,Marta plays for <extra_id_0>.,<extra_id_0> FC Rosengård <extra_id_1>
113,1468,2019,Hashim Mahomed Amla plays for <extra_id_0>.,<extra_id_0> Cape Cobras <extra_id_1>
114,1479,2019,Andrea Bargnani plays for <extra_id_0>.,<extra_id_0> Saski Baskonia <extra_id_1>
115,1488,2019,Teddy Bridgewater plays for <extra_id_0>.,<extra_id_0> New Orleans Saints <extra_id_1>
116,1499,2019,Thibaut Curtua plays for <extra_id_0>.,<extra_id_0> Belgium national football team <extra_id_1>
117,1505,2019,Marcelo plays for <extra_id_0>.,<extra_id_0> Juventus FC <extra_id_1>
118,1516,2019,Jérôme Boateng plays for <extra_id_0>.,<extra_id_0> FC Bayern Munich <extra_id_1>
119,1527,2019,Zoltán Stieber plays for <extra_id_0>.,<extra_id_0> Hungary national association football team <extra_id_1>
120,1550,2019,Babar Azam plays for <extra_id_0>.,<extra_id_0> Zarai Taraqiati Bank Ltd cricket team <extra_id_1>
121,1561,2019,Gareth Barry plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
122,1572,2019,Jermaine Pennant plays for <extra_id_0>.,<extra_id_0> Tampines Rovers FC <extra_id_1>
123,1583,2019,Chris Baird plays for <extra_id_0>.,<extra_id_0> Derby County F.C. <extra_id_1>
124,1594,2019,André Ayew plays for <extra_id_0>.,<extra_id_0> Swansea City A.F.C. <extra_id_1>
125,1605,2019,Kevin Nolan plays for <extra_id_0>.,<extra_id_0> Leyton Orient F.C. <extra_id_1>
126,1616,2019,Steven Naismith plays for <extra_id_0>.,<extra_id_0> Norwich City F.C. <extra_id_1>
127,1626,2019,Deandre Ayton plays for <extra_id_0>.,<extra_id_0> Phoenix Suns <extra_id_1>
128,1637,2019,Alex Oxlade-Chamberlain plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
129,1648,2019,Nikola Mirotić plays for <extra_id_0>.,<extra_id_0> FC Barcelona Bàsquet <extra_id_1>
130,1659,2019,Katie Chapman plays for <extra_id_0>.,<extra_id_0> Chelsea L.F.C. <extra_id_1>
131,1670,2019,Teddy Chevalier plays for <extra_id_0>.,<extra_id_0> Çaykur Rizespor <extra_id_1>
132,1681,2019,Lewis Holtby plays for <extra_id_0>.,<extra_id_0> Hamburger SV <extra_id_1>
133,1694,2019,Adam Chicksen plays for <extra_id_0>.,<extra_id_0> Brighton & Hove Albion F.C. <extra_id_1>
134,1711,2019,Óscar Cardozo plays for <extra_id_0>.,<extra_id_0> Club Libertad <extra_id_1>
135,1719,2019,Renato Sanches plays for <extra_id_0>.,<extra_id_0> Portugal national association football team <extra_id_1>
136,1735,2019,Emre Can plays for <extra_id_0>.,<extra_id_0> Germany national association football team <extra_id_1>
137,1763,2019,Robert Snodgrass plays for <extra_id_0>.,<extra_id_0> Scotland national football team <extra_id_1>
138,1774,2019,Kieron Pollard plays for <extra_id_0>.,<extra_id_0> Mumbai Indians <extra_id_1>
139,1785,2019,Kenneth Vermeer plays for <extra_id_0>.,<extra_id_0> Feyenoord <extra_id_1>
140,1796,2019,Matty Fryatt plays for <extra_id_0>.,<extra_id_0> Nottingham Forest F.C. <extra_id_1>
141,1807,2019,Niall McGinn plays for <extra_id_0>.,<extra_id_0> Aberdeen F.C. <extra_id_1>
142,1818,2019,Nathan Redmond plays for <extra_id_0>.,<extra_id_0> England national under-21 football team <extra_id_1>
143,1829,2019,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Iran national football team <extra_id_1>
144,1843,2019,Robert Green plays for <extra_id_0>.,<extra_id_0> Queens Park Rangers F.C. <extra_id_1>
145,1854,2019,Matt Godden plays for <extra_id_0>.,<extra_id_0> Ebbsfleet United F.C. <extra_id_1>
146,1875,2019,Recep Tayyip Erdoğan holds the position of <extra_id_0>.,<extra_id_0> President of Turkey <extra_id_1>
147,1886,2019,Boris Johnson holds the position of <extra_id_0>.,<extra_id_0> Minister for the Civil Service <extra_id_1>
148,1897,2019,Vladimir Putin holds the position of <extra_id_0>.,<extra_id_0> Supreme Commander-in-Chief of the Armed Forces of the Russian Federation <extra_id_1>
149,1908,2019,Mike Pence holds the position of <extra_id_0>.,<extra_id_0> Vice President of the United States <extra_id_1>
150,1918,2019,Scott Pruitt holds the position of <extra_id_0>.,<extra_id_0> Administrator of the Environmental Protection Agency <extra_id_1>
151,1933,2019,Ralph Northam holds the position of <extra_id_0>.,<extra_id_0> Governor of Virginia <extra_id_1>
152,1944,2019,Richard Blumenthal holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
153,1955,2019,Jeff Sessions holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
154,1963,2019,Emmerson Mnangagwa holds the position of <extra_id_0>.,<extra_id_0> President of Zimbabwe <extra_id_1>
155,1970,2019,Traian Băsescu holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
156,1981,2019,Dmitry Medvedev holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Russia <extra_id_1>
157,1992,2019,Lee Jae-myung holds the position of <extra_id_0>.,<extra_id_0> Governor of Gyeonggi Province <extra_id_1>
158,2004,2019,Liam Fox holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for International Trade <extra_id_1>
159,2020,2019,Mike Pompeo holds the position of <extra_id_0>.,<extra_id_0> United States Secretary of State <extra_id_1>
160,2037,2019,Enda Kenny holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
161,2048,2019,Steve Cohen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
162,2059,2019,Mitch McConnell holds the position of <extra_id_0>.,<extra_id_0> Majority Leader of the United States Senate <extra_id_1>
163,2070,2019,Eric Garcetti holds the position of <extra_id_0>.,<extra_id_0> Mayor of the City of Los Angeles <extra_id_1>
164,2078,2019,Frank-Walter Steinmeier holds the position of <extra_id_0>.,<extra_id_0> president of Germany <extra_id_1>
165,2089,2019,Jeff Flake holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
166,2098,2019,Andrew Scheer holds the position of <extra_id_0>.,<extra_id_0> Leader of the Official Opposition <extra_id_1>
167,2107,2019,Aleksandar Vučić holds the position of <extra_id_0>.,<extra_id_0> President of Serbia <extra_id_1>
168,2120,2019,Jody Wilson-Raybould holds the position of <extra_id_0>.,<extra_id_0> Minister of Veterans Affairs <extra_id_1>
169,2130,2019,James R. Clapper holds the position of <extra_id_0>.,<extra_id_0> Director of National Intelligence <extra_id_1>
170,2155,2019,Dominic Raab holds the position of <extra_id_0>.,<extra_id_0> First Secretary of State <extra_id_1>
171,2164,2019,Kenneth Clarke holds the position of <extra_id_0>.,<extra_id_0> Father of the House <extra_id_1>
172,2177,2019,Nicola Sturgeon holds the position of <extra_id_0>.,<extra_id_0> First Minister of Scotland <extra_id_1>
173,2188,2019,Mahmoud Abbas holds the position of <extra_id_0>.,<extra_id_0> President of the State of Palestine <extra_id_1>
174,2199,2019,Abdul Taib Mahmud holds the position of <extra_id_0>.,<extra_id_0> Yang di-Pertua Negeri of Sarawak <extra_id_1>
175,2210,2019,Joe Donnelly holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
176,2218,2019,Salman of Saudi Arabia holds the position of <extra_id_0>.,<extra_id_0> King of Saudi Arabia <extra_id_1>
177,2226,2019,Mark Meadows holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
178,2236,2019,Tim Scott holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
179,2246,2019,Oleksandr Turchynov holds the position of <extra_id_0>.,<extra_id_0> Chairman of the Verkhovna Rada <extra_id_1>
180,2251,2019,Keir Starmer holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Exiting the European Union <extra_id_1>
181,2278,2019,Thomas Massie holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
182,2285,2019,Andrej Plenković holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Croatia <extra_id_1>
183,2297,2019,John F. Kelly holds the position of <extra_id_0>.,<extra_id_0> White House Chief of Staff <extra_id_1>
184,2307,2019,Roy Blunt holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
185,2318,2019,Li Keqiang holds the position of <extra_id_0>.,<extra_id_0> Premier of the State Council of the People's Republic of China <extra_id_1>
186,2323,2019,Karen Handel holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
187,2333,2019,Andy Burnham holds the position of <extra_id_0>.,<extra_id_0> Mayor of Greater Manchester <extra_id_1>
188,2353,2019,Raúl Castro Ruz holds the position of <extra_id_0>.,<extra_id_0> First Secretary of the Communist Party of Cuba <extra_id_1>
189,2358,2019,Kristina Keneally holds the position of <extra_id_0>.,<extra_id_0> Member of the Australian Senate <extra_id_1>
190,2364,2019,Tarō Kōno holds the position of <extra_id_0>.,<extra_id_0> Minister for Foreign Affairs <extra_id_1>
191,2368,2019,Carles Puigdemont holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
192,2385,2019,Kristi Noem holds the position of <extra_id_0>.,<extra_id_0> Governor of South Dakota <extra_id_1>
193,2402,2019,Pete Hoekstra holds the position of <extra_id_0>.,<extra_id_0> United States Ambassador to the Netherlands <extra_id_1>
194,2413,2019,Dominic Grieve holds the position of <extra_id_0>.,<extra_id_0> Advocate General for Northern Ireland <extra_id_1>
195,2435,2019,Jim Sensenbrenner holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
196,2440,2019,Chrystia Freeland holds the position of <extra_id_0>.,<extra_id_0> Deputy Prime Minister of Canada <extra_id_1>
197,2451,2019,Bill Cassidy holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
198,2462,2019,Chris Van Hollen holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
199,2480,2019,László Tőkés holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
200,2490,2019,Bridget McKenzie holds the position of <extra_id_0>.,<extra_id_0> Member of the Australian Senate <extra_id_1>
201,2504,2019,Stefan Löfven holds the position of <extra_id_0>.,<extra_id_0> party leader <extra_id_1>
202,2515,2019,Brian Schatz holds the position of <extra_id_0>.,<extra_id_0> United States senator <extra_id_1>
203,2525,2019,Mario Monti holds the position of <extra_id_0>.,<extra_id_0> senatore a vita <extra_id_1>
204,2553,2019,Matt Hancock holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for Health and Social Care <extra_id_1>
205,2564,2019,Trey Gowdy holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
206,2568,2019,Rebecca Long-Bailey holds the position of <extra_id_0>.,"<extra_id_0> Shadow Secretary of State for Business, Innovation and Skills <extra_id_1>"
207,2587,2019,Jane Philpott holds the position of <extra_id_0>.,<extra_id_0> President of the Treasury Board <extra_id_1>
208,2599,2019,Arun Jaitley holds the position of <extra_id_0>.,<extra_id_0> Minister of Finance <extra_id_1>
209,2601,2019,Robert C. O'Brien holds the position of <extra_id_0>.,<extra_id_0> Special Envoy for Hostage Affairs <extra_id_1>
210,2603,2019,Robert Buckland holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for Justice <extra_id_1>
211,2614,2019,Hubertus Leteng holds the position of <extra_id_0>.,<extra_id_0> Catholic bishop <extra_id_1>
212,2625,2019,Xavier Becerra holds the position of <extra_id_0>.,<extra_id_0> Attorney General of California <extra_id_1>
213,2636,2019,Phil Hogan holds the position of <extra_id_0>.,<extra_id_0> European Commissioner for Agriculture and Rural Development <extra_id_1>
214,2647,2019,"Daniel M. Donovan, Jr. holds the position of <extra_id_0>.",<extra_id_0> United States representative <extra_id_1>
215,2656,2019,Knut Arild Hareide holds the position of <extra_id_0>.,<extra_id_0> party leader <extra_id_1>
216,2661,2019,Richard Burgon holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Justice <extra_id_1>
217,2672,2019,Abdrabbuh Mansour Hadi holds the position of <extra_id_0>.,<extra_id_0> President of Yemenمهدي محمد المشاط <extra_id_1>
218,2678,2019,Steven Ciobo holds the position of <extra_id_0>.,<extra_id_0> Minister for Trade <extra_id_1>
219,2699,2019,Tabaré Vázquez holds the position of <extra_id_0>.,<extra_id_0> President of Uruguay <extra_id_1>
220,2709,2019,Jeff Colyer holds the position of <extra_id_0>.,<extra_id_0> Governor of Kansas <extra_id_1>
221,2714,2019,Robert Barron holds the position of <extra_id_0>.,<extra_id_0> auxiliary bishop <extra_id_1>
222,2734,2019,Wang Qishan holds the position of <extra_id_0>.,<extra_id_0> Vice President of the People's Republic of China <extra_id_1>
223,2742,2019,Kelly Loeffler holds the position of <extra_id_0>.,<extra_id_0> chief executive officer <extra_id_1>
224,2749,2019,Gilad Erdan holds the position of <extra_id_0>.,<extra_id_0> Information Minister of Israel <extra_id_1>
225,2760,2019,Rodney L. Davis holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
226,2782,2019,Margrethe Vestager holds the position of <extra_id_0>.,<extra_id_0> European Commissioner for Competition <extra_id_1>
227,2789,2019,"Michael Bates, Baron Bates holds the position of <extra_id_0>.",<extra_id_0> Department for International Development <extra_id_1>
228,2796,2019,Ruben Kihuen holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
229,2806,2019,Virginia Foxx holds the position of <extra_id_0>.,<extra_id_0> Republican Conference Secretary of the United States House of Representatives <extra_id_1>
230,2813,2019,Mette Frederiksen holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Denmark <extra_id_1>
231,2815,2019,Chen Chi-mai holds the position of <extra_id_0>.,<extra_id_0> Vice Premier of the Republic of China <extra_id_1>
232,2824,2019,James Comer holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
233,2829,2019,Penny Mordaunt holds the position of <extra_id_0>.,<extra_id_0> Secretary of State for Defence <extra_id_1>
234,2839,2019,Édouard Philippe holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of France <extra_id_1>
235,2855,2019,Timothy M. Keller holds the position of <extra_id_0>.,<extra_id_0> Mayor of Albuquerque <extra_id_1>
236,2864,2019,Lawrence Thomas Persico holds the position of <extra_id_0>.,<extra_id_0> diocesan bishop <extra_id_1>
237,2867,2019,Brandon Lewis holds the position of <extra_id_0>.,<extra_id_0> Chairman of the Conservative Party <extra_id_1>
238,2877,2019,David Hurley holds the position of <extra_id_0>.,<extra_id_0> Governor of New South Wales <extra_id_1>
239,2888,2019,David McAllister holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
240,2898,2019,Dacian Cioloș holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
241,2908,2019,"Joseph F. Dunford, Jr. holds the position of <extra_id_0>.",<extra_id_0> Chairman of the Joint Chiefs of Staff <extra_id_1>
242,2919,2019,Dominique Mamberti holds the position of <extra_id_0>.,<extra_id_0> cardinal <extra_id_1>
243,2922,2019,Rod Phillips holds the position of <extra_id_0>.,<extra_id_0> environment minister <extra_id_1>
244,2933,2019,Naledi Pandor holds the position of <extra_id_0>.,<extra_id_0> Minister of Higher Education and Training <extra_id_1>
245,2949,2019,Mikie Sherrill holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
246,2962,2019,Mark Drakeford holds the position of <extra_id_0>.,<extra_id_0> First Minister of Wales <extra_id_1>
247,2976,2019,Maroš Šefčovič holds the position of <extra_id_0>.,<extra_id_0> European Commissioner for Energy <extra_id_1>
248,2987,2019,Olav Fykse Tveit holds the position of <extra_id_0>.,<extra_id_0> general secretary <extra_id_1>
249,2998,2019,Volodymyr Lytvyn holds the position of <extra_id_0>.,<extra_id_0> People's Deputy of Ukraine <extra_id_1>
